Scenario,Season,chargerAccessType,Daily_pluggedTime_min,Daily_chargingTime_min,Daily_chargingCost_SEK,Daily_energy_kWh,Daily_sessionStarts
VIPV50_Wp700,WINTER,home,13627134.583333332,3427149.0,852364.6850775313,348901.90499074315,23202.5
VIPV50_Wp700,WINTER,work,2015144.0,418996.41666666674,213709.99999999997,53427.49999999999,4632.5
VIPV50_Wp700,WINTER,public,3750890.4583333335,868933.6666666667,978579.4562209332,177923.53749471513,15075.0
VIPV50_Wp1000,SPRING,home,11814494.625,2898395.791666667,687778.7167522463,295154.39143501717,19930.0
VIPV50_Wp1000,SPRING,work,1889348.625,407715.83333333343,216120.0000000001,54030.00000000002,4285.0
VIPV50_Wp1000,SPRING,public,3196665.0,749440.6249999999,854850.0505216245,155427.28191302263,13250.0
VIPV50_Wp1000,SUMMER,home,12255402.875,2996833.041666666,730875.5927915912,305703.2586769478,21022.5
VIPV50_Wp1000,SUMMER,work,1724540.25,359418.2083333333,186260.0,46565.0,4010.0
VIPV50_Wp1000,SUMMER,public,3340882.375,766475.5416666666,880031.4378359849,160005.71597017907,13377.5
VIPV50_Wp1000,AUTUMN,home,13373104.416666668,3358068.333333333,734217.880999401,342172.1752309685,22120.0
VIPV50_Wp1000,AUTUMN,work,1702752.2083333335,352767.29166666674,180400.0,45100.0,3972.5
VIPV50_Wp1000,AUTUMN,public,3605081.6666666665,833657.2083333333,936064.5267210172,170193.5503129122,14502.5
VIPV50_Wp1000,WINTER,home,13508522.666666668,3393350.666666667,845285.3226025256,345722.62366857036,22775.0
VIPV50_Wp1000,WINTER,work,1992727.0,415014.29166666674,212649.99999999994,53162.499999999985,4530.0
VIPV50_Wp1000,WINTER,public,3670745.666666667,842902.4583333334,951650.3785202393,173027.34154913443,14562.5
VIPV80_Wp400,SPRING,home,12408209.5,3098308.916666667,740108.8443117075,316109.65446204494,20947.5
VIPV80_Wp400,SPRING,work,1917026.4166666665,402674.9166666666,209620.00000000003,52405.00000000001,4422.5
VIPV80_Wp400,SPRING,public,3241943.2916666665,768111.2083333334,867535.2847003264,157733.68812733208,13572.5
VIPV80_Wp400,SUMMER,home,12709656.791666668,3141337.875,765474.2410226846,319961.20302267617,21605.0
VIPV80_Wp400,SUMMER,work,1888014.583333333,386919.75,199280.0,49820.0,4312.5
VIPV80_Wp400,SUMMER,public,3506944.041666667,799066.7500000002,903254.2059508292,164228.03744560533,13995.0
VIPV80_Wp400,AUTUMN,home,13464032.583333334,3414151.541666667,747321.1898856255,348068.11711977294,22627.5
VIPV80_Wp400,AUTUMN,work,1940857.3333333333,386810.1666666666,194960.0,48740.0,4432.5
VIPV80_Wp400,AUTUMN,public,3643335.291666666,830245.3333333335,936094.9911667401,170199.0893030436,14360.0
VIPV80_Wp400,WINTER,home,13686680.5,3446359.0,857327.282873759,350935.42844110646,23040.0
VIPV80_Wp400,WINTER,work,2057175.4999999998,430366.2083333334,219540.00000000006,54885.000000000015,4730.0
VIPV80_Wp400,WINTER,public,3730007.5,861399.7916666666,969901.6993369503,176345.76351580909,15027.5
VIPV80_Wp700,SPRING,home,11234627.208333336,2799716.0,669977.6263034237,285943.92085606017,19207.5
VIPV80_Wp700,SPRING,work,1814509.1666666667,384519.125,204830.0,51207.5,4110.0
VIPV80_Wp700,SPRING,public,3084854.375,716278.7083333333,824349.0490264094,149881.64527752902,12600.0
VIPV80_Wp700,SUMMER,home,12110915.416666668,2944968.458333333,718618.9968497014,300324.6958327837,20552.5
VIPV80_Wp700,SUMMER,work,1631774.125,346532.54166666674,182440.0,45610.0,3767.5
VIPV80_Wp700,SUMMER,public,3108458.916666667,717776.5000000001,820471.3293231673,149176.60533148493,12660.0
VIPV80_Wp700,AUTUMN,home,13168331.833333334,3313826.375,726280.0995848388,337648.6319154636,22045.0
VIPV80_Wp700,AUTUMN,work,1826047.125,372651.75000000006,189349.99999999994,47337.499999999985,4282.5
VIPV80_Wp700,AUTUMN,public,3544236.875,811834.2083333335,921125.3028005341,167477.32778191526,14062.5
VIPV80_Wp700,WINTER,home,13411662.750000002,3375218.291666667,840425.1220659593,343554.8883231551,22760.0
VIPV80_Wp700,WINTER,work,2012275.7083333333,419117.83333333343,214149.99999999985,53537.49999999996,4640.0
VIPV80_Wp700,WINTER,public,3683262.916666667,856848.2916666665,960657.9675492716,174665.0850089584,15025.0
VIPV80_Wp1000,SPRING,home,10550239.75,2581559.208333333,616630.7784332199,263416.151242321,18072.5
VIPV80_Wp1000,SPRING,work,1573015.375,333465.0,179369.99999999994,44842.499999999985,3632.5
VIPV80_Wp1000,SPRING,public,2810926.833333333,663283.4166666667,766412.2600520251,139347.68364582272,11960.0
VIPV80_Wp1000,SUMMER,home,11179661.083333334,2731897.1666666665,669557.7098002649,279271.31809073925,19185.0
VIPV80_Wp1000,SUMMER,work,1543054.4583333333,325362.4166666666,172740.00000000003,43185.00000000001,3597.5
VIPV80_Wp1000,SUMMER,public,3000384.916666667,682361.5833333333,780851.424835241,141972.98633368016,12112.5
VIPV80_Wp1000,AUTUMN,home,12726996.833333334,3200192.374999999,701062.3954373705,326298.86581263447,21225.0
VIPV80_Wp1000,AUTUMN,work,1740301.625,361905.75000000006,186970.00000000003,46742.50000000001,4045.0
VIPV80_Wp1000,AUTUMN,public,3381793.5,775152.875,875040.3888751817,159098.2525227603,13635.0
VIPV80_Wp1000,WINTER,home,12960073.291666666,3269237.0,815211.0732150697,333525.67044056935,22060.0
VIPV80_Wp1000,WINTER,work,1987923.2083333333,413361.125,211990.0,52997.5,4575.0
VIPV80_Wp1000,WINTER,public,3686257.333333333,836307.7916666667,945061.65410988,171829.39165634182,14577.5
