Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_pluggedTime_min,Annual_total_pluggedTime_min,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh,Annual_avg_daily_sessionStarts,Annual_total_sessionStarts
VIPV50_Wp1000,24,11.5,public,82316.37168949773,30045475.66666667,27314.30582191781,9969721.625,31035.078889816785,11327803.794783127,5642.741616330321,2059600.6899605673,570.5958904109589,208267.5
VIPV50_Wp1000,24,11.5,work,95093.81598173514,34709242.83333333,8600.146917808219,3139053.625,4741.900857903674,1730793.8131348407,1185.4752144759184,432698.4532837102,85.5068493150685,31210.0
VIPV50_Wp1000,25,12.0,home,86829.9916666667,31692946.958333343,38562.626712328754,14075358.749999996,8812.489256957146,3216558.5787893585,4028.0153117347854,1470225.5887831966,555.6095890410959,202797.5
VIPV50_Wp1000,25,12.0,public,83147.96563926942,30349007.458333336,28764.12956621005,10498907.291666668,32737.898861963495,11949333.084616676,5952.345247629723,2172606.015384849,593.1712328767123,216507.5
VIPV50_Wp1000,25,12.0,work,94885.47728310504,34633199.208333336,8457.900456621006,3087133.666666667,4543.352262441904,1658323.575791295,1135.838065610476,414580.89394782373,108.76712328767124,39700.0
VIPV50_Wp1000,26,12.5,home,87379.06792237441,31893359.791666657,44755.96860730595,16335928.541666672,10206.429039732264,3725346.5995022766,4671.386272136403,1705055.989329787,552.5753424657535,201690.0
VIPV50_Wp1000,26,12.5,public,82145.8698630137,29983242.5,29495.73630136986,10765943.749999998,33690.363553604875,12296982.69706578,6125.52064610998,2235815.0358301424,592.7397260273973,216350.0
VIPV50_Wp1000,26,12.5,work,95679.37134703196,34922970.541666664,9023.910273972602,3293727.25,4740.041452473554,1730115.1301528474,1185.0103631183886,432528.78253821185,126.84246575342466,46297.5
VIPV50_Wp1000,27,13.0,home,86751.14668949773,31664168.54166667,48843.64851598171,17827931.708333325,11121.819761717088,4059464.2130267373,5097.024149075891,1860413.8144127002,613.5,223927.5
VIPV50_Wp1000,27,13.0,public,83416.86586757991,30447156.041666668,30973.255593607308,11305238.291666668,35696.675225630475,13029286.457355123,6490.304586478268,2368961.174064568,547.2945205479452,199762.5
VIPV50_Wp1000,27,13.0,work,96601.70993150685,35259624.125,9449.097716894976,3448920.666666666,4898.509011986536,1787955.7893750858,1224.627252996634,446988.94734377146,102.5,37412.5
VIPV50_Wp1000,28,13.5,home,91530.0812785388,33408479.66666666,55192.91484018264,20145413.916666664,12465.985561252952,4550084.729857327,5707.092726948842,2083088.8453363273,659.2671232876712,240632.5
VIPV50_Wp1000,28,13.5,public,82920.11392694064,30265841.583333336,29798.560273972613,10876474.500000004,35273.393419093954,12874788.597969294,6413.344258017088,2340870.654176237,499.09589041095893,182170.0
VIPV50_Wp1000,28,13.5,work,97186.43013698628,35473046.99999999,9004.273630136986,3286559.875,4817.771173191153,1758486.4782147708,1204.4427932977883,439621.6195536927,66.82876712328768,24392.5
VIPV50_Wp1000,29,14.0,home,99765.79714611871,36414515.95833333,63140.312328767155,23046214.00000001,14104.917456215844,5148294.871518783,6447.19150082495,2353224.897801107,780.1780821917808,284765.0
VIPV50_Wp1000,29,14.0,public,79835.64143835618,29140009.125000007,27986.785616438337,10215176.749999993,33215.89331742809,12123801.060861252,6039.253330441471,2204327.465611137,530.7397260273973,193720.0
VIPV50_Wp1000,29,14.0,work,96256.81849315068,35133738.75,8010.123515981735,2923695.0833333335,4377.3367133693555,1597727.900379815,1094.3341783423389,399431.9750949537,63.69178082191781,23247.5
VIPV50_Wp1000,30,14.5,home,108323.34189497716,39538019.791666664,69337.81084474885,25308300.95833333,15342.881705853506,5600151.82263653,7007.741718635933,2557825.7273021154,740.3424657534247,270225.0
VIPV50_Wp1000,30,14.5,public,78014.87762557075,28475430.33333332,27166.669178082197,9915834.250000002,32113.62928798868,11721474.690115867,5838.841688725214,2131177.2163847033,444.2054794520548,162135.0
VIPV50_Wp1000,30,14.5,work,94317.02031963471,34425712.41666667,6578.967009132421,2401322.9583333335,3672.3030220632895,1340390.6030531006,918.0757555158224,335097.65076327516,21.883561643835616,7987.5
