Scenario,Season,TimeIndex,Hour,chargerAccessType,pluggedTime_min,chargingTime_min,chargingCost_SEK,energy_kWh,sessionStarts
VIPV80_Wp700,AUTUMN,34,16.5,public,75304.37500000001,30272.66666666668,35433.76502552565,6442.50273191375,550.0
VIPV80_Wp700,AUTUMN,35,17.0,home,223060.20833333317,140000.625,34703.837625657325,13881.535050262899,1257.5
VIPV80_Wp700,AUTUMN,35,17.0,work,34652.375,1323.0,774.3425544397686,193.58563860994215,17.5
VIPV80_Wp700,AUTUMN,35,17.0,public,74538.50000000004,30484.666666666682,36188.18784557995,6579.670517378167,545.0
VIPV80_Wp700,AUTUMN,36,17.5,home,252061.04166666683,150645.33333333334,37585.94580514459,15034.378322057828,1127.5
VIPV80_Wp700,AUTUMN,36,17.5,work,24494.041666666668,926.2083333333335,554.3341822521758,138.58354556304394,2.5
VIPV80_Wp700,AUTUMN,36,17.5,public,72116.4166666667,28307.874999999996,33651.085776538835,6118.379232097964,450.0
VIPV80_Wp700,AUTUMN,37,18.0,home,278201.333333333,157173.12500000015,39430.739791445405,15772.295916578165,1087.5
VIPV80_Wp700,AUTUMN,37,18.0,work,17108.166666666664,803.9166666666667,475.92525811424963,118.98131452856241,15.0
VIPV80_Wp700,AUTUMN,37,18.0,public,69570.33333333334,25956.416666666675,30495.63330683358,5544.660601242474,337.5
VIPV80_Wp700,AUTUMN,38,18.5,home,298657.2916666667,158062.50000000015,39755.99486301323,15902.39794520529,785.0
VIPV80_Wp700,AUTUMN,38,18.5,work,12456.750000000002,716.7916666666666,428.4128859297466,107.10322148243665,2.5
VIPV80_Wp700,AUTUMN,38,18.5,public,69719.16666666666,21784.20833333337,25901.406688208037,4709.3466705832825,295.0
VIPV80_Wp700,AUTUMN,39,19.0,home,314608.5416666666,151510.95833333334,38369.46618682352,15347.786474729444,640.0
VIPV80_Wp700,AUTUMN,39,19.0,work,8832.374999999998,579.125,344.81489572996463,86.20372393249116,10.0
VIPV80_Wp700,AUTUMN,39,19.0,public,69513.91666666667,20015.375000000004,23836.708056291285,4333.946919325689,230.0
VIPV80_Wp700,AUTUMN,40,19.5,home,329767.20833333355,142204.3333333332,36219.40169109355,14487.760676437447,560.0
VIPV80_Wp700,AUTUMN,40,19.5,work,6702.708333333333,678.7083333333333,412.31748195228437,103.07937048807109,10.0
VIPV80_Wp700,AUTUMN,40,19.5,public,69055.45833333333,16765.583333333336,20328.355636926914,3696.0646612594387,177.5
VIPV80_Wp700,AUTUMN,41,20.0,home,341400.04166666674,129724.45833333331,33158.459130359566,13263.38365214384,367.5
VIPV80_Wp700,AUTUMN,41,20.0,work,5052.833333333334,568.2083333333334,377.7505820576068,94.4376455144017,0.0
VIPV80_Wp700,AUTUMN,41,20.0,public,67637.12500000001,12783.333333333336,15630.250183998874,2841.863669817976,97.5
VIPV80_Wp700,AUTUMN,42,20.5,home,350044.04166666657,114883.12500000004,29511.76314229524,11804.705256918118,332.5
VIPV80_Wp700,AUTUMN,42,20.5,work,3404.041666666667,250.04166666666666,181.97991861849746,45.494979654624366,0.0
VIPV80_Wp700,AUTUMN,42,20.5,public,66135.45833333334,9841.541666666668,12081.33922761843,2196.6071322942607,115.0
VIPV80_Wp700,AUTUMN,43,21.0,home,358423.79166666674,99276.37499999997,20486.253688571698,10243.126844285849,285.0
VIPV80_Wp700,AUTUMN,43,21.0,work,2071.2083333333335,81.58333333333333,59.897383943069,14.97434598576725,0.0
VIPV80_Wp700,AUTUMN,43,21.0,public,65514.79166666666,7611.791666666666,9393.406554963696,1707.8921009024896,97.5
VIPV80_Wp700,AUTUMN,44,21.5,home,365664.25000000006,86534.83333333333,17925.437072295674,8962.718536147837,245.0
VIPV80_Wp700,AUTUMN,44,21.5,work,1398.0416666666667,48.041666666666664,35.25223848001747,8.813059620004367,0.0
VIPV80_Wp700,AUTUMN,44,21.5,public,64980.87500000001,6513.958333333331,7664.783159953404,1393.5969381733453,52.5
VIPV80_Wp700,AUTUMN,45,22.0,home,373369.45833333326,75558.41666666666,15753.398386806179,7876.699193403089,235.0
VIPV80_Wp700,AUTUMN,45,22.0,work,904.375,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,45,22.0,public,64562.125,5257.333333333334,6147.535095678378,1117.7336537597052,20.0
VIPV80_Wp700,AUTUMN,46,22.5,home,379129.9583333333,65844.79166666666,13776.85257356794,6888.42628678397,155.0
VIPV80_Wp700,AUTUMN,46,22.5,work,351.375,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,46,22.5,public,64244.33333333333,3568.125,4508.708847292635,819.7652449622973,12.5
VIPV80_Wp700,AUTUMN,47,23.0,home,382657.6249999999,56231.41666666667,11855.375264462034,5927.687632231017,135.0
VIPV80_Wp700,AUTUMN,47,23.0,work,47.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,47,23.0,public,63759.33333333332,2240.25,3000.7571368211793,545.5922066947599,17.5
VIPV80_Wp700,AUTUMN,48,23.5,home,388124.5416666666,50137.708333333365,10641.903730053284,5320.951865026642,180.0
VIPV80_Wp700,AUTUMN,48,23.5,work,0.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,AUTUMN,48,23.5,public,63396.58333333333,1455.9583333333333,1955.9119205763195,355.6203491956944,5.0
VIPV80_Wp700,WINTER,1,0.0,home,412906.75,128683.83333333339,26104.345058618266,13052.172529309131,510.0
VIPV80_Wp700,WINTER,1,0.0,work,0.0,0.0,0.0,0.0,0.0
VIPV80_Wp700,WINTER,1,0.0,public,69009.5,14636.374999999998,18056.88129402596,3283.0693261865363,117.5
VIPV80_Wp700,WINTER,2,0.5,home,422094.25,120041.58333333334,24558.018748286388,12279.009374143194,272.5
VIPV80_Wp700,WINTER,2,0.5,work,51.583333333333336,51.583333333333336,17.57667297844035,4.394168244610087,5.0
VIPV80_Wp700,WINTER,2,0.5,public,71587.5,12076.083333333336,15354.685269734391,2791.760958133526,62.5
VIPV80_Wp700,WINTER,3,1.0,home,427162.5,108921.4583333333,22445.49905276645,11222.749526383224,127.5
VIPV80_Wp700,WINTER,3,1.0,work,150.0,143.08333333333334,44.11202240330432,11.02800560082608,0.0
VIPV80_Wp700,WINTER,3,1.0,public,72337.5,8543.041666666668,10933.223845332132,1987.8588809694804,20.0
VIPV80_Wp700,WINTER,4,1.5,home,429450.0,95786.33333333337,19869.74853561872,9934.874267809359,52.5
VIPV80_Wp700,WINTER,4,1.5,work,150.0,75.0,36.38625408179132,9.09656352044783,0.0
VIPV80_Wp700,WINTER,4,1.5,public,72579.45833333333,5003.999999999999,6548.67285427737,1190.6677916867943,5.0
VIPV80_Wp700,WINTER,5,2.0,home,429900.0,77528.87499999997,16251.131120196582,8125.565560098289,10.0
VIPV80_Wp700,WINTER,5,2.0,work,150.0,75.0,36.38625408179132,9.09656352044783,0.0
VIPV80_Wp700,WINTER,5,2.0,public,72862.5,2666.3750000000005,3441.636847004096,625.7521540007448,10.0
VIPV80_Wp700,WINTER,6,2.5,home,430012.5,60122.95833333335,12703.685272691553,6351.842636345777,5.0
VIPV80_Wp700,WINTER,6,2.5,work,150.0,11.416666666666666,5.538796454672679,1.3846991136681697,0.0
VIPV80_Wp700,WINTER,6,2.5,public,72937.5,1124.0416666666667,1389.807928595607,252.69235065374667,2.5
VIPV80_Wp700,WINTER,7,3.0,home,430041.7916666666,44059.749999999985,9390.788073336264,4695.394036668132,0.0
VIPV80_Wp700,WINTER,7,3.0,work,150.0,0.0,0.0,0.0,0.0
