vehicle_id,pv_wp,pv_area_m2,pv_eff
4680502,400.0,2.0,0.2
4681405,400.0,2.0,0.2
4690419,400.0,2.0,0.2
4694716,400.0,2.0,0.2
4695435,400.0,2.0,0.2
4699077,400.0,2.0,0.2
4700861,400.0,2.0,0.2
4703482,400.0,2.0,0.2
4703580,400.0,2.0,0.2
4704065,400.0,2.0,0.2
4704257,400.0,2.0,0.2
4705288,400.0,2.0,0.2
4706024,400.0,2.0,0.2
4707188,400.0,2.0,0.2
4709255,400.0,2.0,0.2
4721522,400.0,2.0,0.2
4721760,400.0,2.0,0.2
4729425,400.0,2.0,0.2
4730508,400.0,2.0,0.2
4735689,400.0,2.0,0.2
4739613,400.0,2.0,0.2
4740567,400.0,2.0,0.2
4740650,400.0,2.0,0.2
4743770,400.0,2.0,0.2
4744050,400.0,2.0,0.2
4744657,400.0,2.0,0.2
4760278,400.0,2.0,0.2
4765466,400.0,2.0,0.2
4765734,400.0,2.0,0.2
4766519,400.0,2.0,0.2
4768346,400.0,2.0,0.2
4769145,400.0,2.0,0.2
4769250,400.0,2.0,0.2
4769859,400.0,2.0,0.2
4770792,400.0,2.0,0.2
4771589,400.0,2.0,0.2
4772109,400.0,2.0,0.2
4772271,400.0,2.0,0.2
4780137,400.0,2.0,0.2
4781029,400.0,2.0,0.2
4784608,400.0,2.0,0.2
4784917,400.0,2.0,0.2
4785637,400.0,2.0,0.2
4785915,400.0,2.0,0.2
4792716,400.0,2.0,0.2
4793581,400.0,2.0,0.2
4795845,400.0,2.0,0.2
4803807,400.0,2.0,0.2
4804303,400.0,2.0,0.2
4804925,400.0,2.0,0.2
4857361,400.0,2.0,0.2
4922508,400.0,2.0,0.2
4923723,400.0,2.0,0.2
4923754,400.0,2.0,0.2
4923864,400.0,2.0,0.2
4926634,400.0,2.0,0.2
4926680,400.0,2.0,0.2
5411211,400.0,2.0,0.2
5412441,400.0,2.0,0.2
5464436,400.0,2.0,0.2
5464740,400.0,2.0,0.2
5464758,400.0,2.0,0.2
5517877,400.0,2.0,0.2
5563006,400.0,2.0,0.2
5589449,400.0,2.0,0.2
5591811,400.0,2.0,0.2
5879289,400.0,2.0,0.2
5879801,400.0,2.0,0.2
5886291,400.0,2.0,0.2
5888321,400.0,2.0,0.2
5888583,400.0,2.0,0.2
5893753,400.0,2.0,0.2
5897095,400.0,2.0,0.2
5897495,400.0,2.0,0.2
5903381,400.0,2.0,0.2
5903559,400.0,2.0,0.2
5905004,400.0,2.0,0.2
