Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
noVIPV,29,14.0,work,72.47260273972603,26452.5
noVIPV,30,14.5,home,800.486301369863,292177.5
noVIPV,30,14.5,public,519.8287671232877,189737.5
noVIPV,30,14.5,work,38.11643835616438,13912.5
noVIPV,31,15.0,home,928.7671232876712,339000.0
noVIPV,31,15.0,public,513.9383561643835,187587.5
noVIPV,31,15.0,work,16.856164383561644,6152.5
noVIPV,32,15.5,home,1117.5616438356165,407910.0
noVIPV,32,15.5,public,573.8972602739726,209472.5
noVIPV,32,15.5,work,15.650684931506849,5712.5
noVIPV,33,16.0,home,1256.9931506849316,458802.5
noVIPV,33,16.0,public,603.986301369863,220455.0
noVIPV,33,16.0,work,23.71232876712329,8655.0
noVIPV,34,16.5,home,1414.958904109589,516460.0
noVIPV,34,16.5,public,620.5890410958904,226515.0
noVIPV,34,16.5,work,12.472602739726028,4552.5
noVIPV,35,17.0,home,1286.6712328767123,469635.0
noVIPV,35,17.0,public,561.1780821917808,204830.0
noVIPV,35,17.0,work,9.965753424657533,3637.5
noVIPV,36,17.5,home,1151.0342465753424,420127.5
noVIPV,36,17.5,public,485.5,177207.5
noVIPV,36,17.5,work,5.006849315068493,1827.5
noVIPV,37,18.0,home,1116.1712328767123,407402.5
noVIPV,37,18.0,public,413.0068493150685,150747.5
noVIPV,37,18.0,work,8.123287671232877,2965.0
noVIPV,38,18.5,home,757.2671232876712,276402.5
noVIPV,38,18.5,public,325.972602739726,118980.0
noVIPV,38,18.5,work,1.86986301369863,682.5
noVIPV,39,19.0,home,624.7739726027397,228042.5
noVIPV,39,19.0,public,224.34931506849315,81887.5
noVIPV,39,19.0,work,6.883561643835616,2512.5
noVIPV,40,19.5,home,582.3767123287671,212567.5
noVIPV,40,19.5,public,215.57534246575344,78685.0
noVIPV,40,19.5,work,5.013698630136986,1830.0
noVIPV,41,20.0,home,414.2191780821918,151190.0
noVIPV,41,20.0,public,130.57534246575344,47660.0
noVIPV,41,20.0,work,0.0,0.0
noVIPV,42,20.5,home,337.4246575342466,123160.0
noVIPV,42,20.5,public,113.73972602739725,41515.0
noVIPV,42,20.5,work,0.0,0.0
noVIPV,43,21.0,home,283.1575342465753,103352.5
noVIPV,43,21.0,public,84.3013698630137,30770.0
noVIPV,43,21.0,work,2.5205479452054793,920.0
noVIPV,44,21.5,home,260.527397260274,95092.5
noVIPV,44,21.5,public,48.08904109589041,17552.5
noVIPV,44,21.5,work,1.86986301369863,682.5
noVIPV,45,22.0,home,754.1438356164383,275262.5
noVIPV,45,22.0,public,94.17123287671232,34372.5
noVIPV,45,22.0,work,0.0,0.0
noVIPV,46,22.5,home,789.9041095890411,288315.0
noVIPV,46,22.5,public,142.76712328767124,52110.0
noVIPV,46,22.5,work,0.0,0.0
noVIPV,47,23.0,home,747.068493150685,272680.0
noVIPV,47,23.0,public,139.56164383561645,50940.0
noVIPV,47,23.0,work,0.0,0.0
noVIPV,48,23.5,home,581.2945205479452,212172.5
noVIPV,48,23.5,public,95.32191780821918,34792.5
noVIPV,48,23.5,work,0.0,0.0
