HexID,chargerAccessType,chargingTime_min_day,chargingCost_SEK_day,energy_kWh_day,Scenario,Season
136,public,1653.875,1581.25,287.5,noVIPV,SPRING
137,home,7597.958333333333,1837.6572057282292,765.0,noVIPV,SPRING
137,work,947.4166666666666,480.0,120.0,noVIPV,SPRING
137,public,1568.7916666666667,1828.75,332.5,noVIPV,SPRING
138,home,0.0,0.0,0.0,noVIPV,SPRING
138,work,1793.3333333333333,890.0,222.5,noVIPV,SPRING
138,public,3308.9583333333335,3272.5,595.0,noVIPV,SPRING
139,home,6988.041666666667,1380.7057089116304,700.0,noVIPV,SPRING
139,work,554.125,250.0,62.5,noVIPV,SPRING
139,public,0.0,0.0,0.0,noVIPV,SPRING
140,home,1761.9166666666667,222.5,175.0,noVIPV,SPRING
140,work,0.0,0.0,0.0,noVIPV,SPRING
140,public,317.125,220.0,40.0,noVIPV,SPRING
141,home,16925.083333333332,4154.33854264228,1697.5,noVIPV,SPRING
141,work,1555.75,880.0,220.0,noVIPV,SPRING
141,public,1806.4166666666667,2172.5,395.0,noVIPV,SPRING
142,home,9940.916666666666,2190.63095798884,994.9611643928138,noVIPV,SPRING
142,work,4541.541666666667,2240.0,560.0,noVIPV,SPRING
142,public,4967.333333333333,5527.5,1005.0,noVIPV,SPRING
143,home,6532.375,1387.943654108035,655.0,noVIPV,SPRING
143,work,2773.5416666666665,1500.0,375.0,noVIPV,SPRING
143,public,2302.5416666666665,2640.0,480.0,noVIPV,SPRING
144,home,10647.625,2953.0541336501374,1094.1110886163813,noVIPV,SPRING
144,work,0.0,0.0,0.0,noVIPV,SPRING
144,public,2341.5,2530.0,460.0,noVIPV,SPRING
145,home,0.0,0.0,0.0,noVIPV,SPRING
145,work,0.0,0.0,0.0,noVIPV,SPRING
145,public,113.41666666666666,55.0,9.999999999999998,noVIPV,SPRING
146,home,0.0,0.0,0.0,noVIPV,SPRING
146,work,0.0,0.0,0.0,noVIPV,SPRING
146,public,272.2083333333333,371.24999999999994,67.49999999999999,noVIPV,SPRING
147,home,3042.7916666666665,657.3083978036641,315.0,noVIPV,SPRING
147,work,0.0,0.0,0.0,noVIPV,SPRING
147,public,0.0,0.0,0.0,noVIPV,SPRING
148,home,8403.5,2388.138372549129,855.0,noVIPV,SPRING
