HexID,noVIPV_sessions,VIPV50_Wp700_sessions,Avoided_sessions_day,Frequency_reduction_pct,Ranking,Charger_context,chargerAccessType
515,59.35616438356164,41.342465753424655,18.013698630136986,30.34848834525733,largest_absolute_avoided_sessions,public,public
365,78.11643835616438,60.61643835616438,17.5,22.40245506356861,largest_absolute_avoided_sessions,public,public
245,139.9041095890411,123.6986301369863,16.205479452054803,11.58327621658671,largest_absolute_avoided_sessions,public,public
292,141.86301369863014,125.71232876712328,16.15068493150686,11.384704519119358,largest_absolute_avoided_sessions,public,public
143,48.178082191780824,32.47945205479452,15.698630136986303,32.58458913847029,largest_absolute_avoided_sessions,public,public
134,65.11643835616438,50.602739726027394,14.513698630136986,22.288839802250976,largest_absolute_avoided_sessions,public,public
226,76.83561643835617,63.0958904109589,13.739726027397268,17.88197539668391,largest_absolute_avoided_sessions,public,public
180,1.86986301369863,0.0,1.86986301369863,100.0,largest_percentage_reduction,public,public
203,0.6232876712328768,0.0,0.6232876712328768,100.0,largest_percentage_reduction,public,public
284,0.6164383561643836,0.0,0.6164383561643836,100.0,largest_percentage_reduction,public,public
329,1.2602739726027397,0.0,1.2602739726027397,100.0,largest_percentage_reduction,public,public
385,1.8904109589041096,0.0,1.8904109589041096,100.0,largest_percentage_reduction,public,public
413,1.2465753424657535,0.0,1.2465753424657535,100.0,largest_percentage_reduction,public,public
465,1.2602739726027397,0.0,1.2602739726027397,100.0,largest_percentage_reduction,public,public
51,0.6164383561643836,0.0,0.6164383561643836,100.0,largest_percentage_reduction,public,public
545,1.8835616438356164,0.0,1.8835616438356164,100.0,largest_percentage_reduction,public,public
55,1.2534246575342465,0.0,1.2534246575342465,100.0,largest_percentage_reduction,public,public
572,1.2328767123287672,0.0,1.2328767123287672,100.0,largest_percentage_reduction,public,public
384,3.1301369863013697,0.6301369863013698,2.5,79.86870897155362,largest_percentage_reduction,public,public
335,4.376712328767123,1.2465753424657535,3.1301369863013697,71.51799687010954,largest_percentage_reduction,public,public
437,1.86986301369863,0.6232876712328768,1.2465753424657533,66.66666666666666,largest_percentage_reduction,public,public
537,6.897260273972603,2.506849315068493,4.39041095890411,63.65441906653426,largest_percentage_reduction,public,public
