TimeIndex,chargerAccessType,Hour,chargingTime_min,chargingCost_SEK,energy_kWh,Scenario,Season
2,home,0.5,126257.33333333333,18809.569015265777,12539.712676843852,noVIPV,AUTUMN
2,work,0.5,75.0,18.940722553490005,4.735180638372501,noVIPV,AUTUMN
2,public,0.5,19064.333333333332,22253.145969532194,4046.0265399149444,noVIPV,AUTUMN
3,home,1.0,140219.08333333334,20973.277502325018,13982.185001550013,noVIPV,AUTUMN
3,work,1.0,18.5,4.6720448965275345,1.1680112241318836,noVIPV,AUTUMN
3,public,1.0,22629.416666666668,27114.259294036077,4929.865326188377,noVIPV,AUTUMN
4,home,1.5,135343.54166666666,20524.36365609474,13682.909104063161,noVIPV,AUTUMN
4,work,1.5,0.0,0.0,0.0,noVIPV,AUTUMN
4,public,1.5,19657.791666666668,24688.823859999007,4488.877065454365,noVIPV,AUTUMN
5,home,2.0,123767.58333333333,18998.926912172792,12665.951274781863,noVIPV,AUTUMN
5,work,2.0,0.0,0.0,0.0,noVIPV,AUTUMN
5,public,2.0,12155.708333333334,15794.972235341007,2871.8131336983647,noVIPV,AUTUMN
6,home,2.5,109262.0,16976.61049393419,11317.74032928946,noVIPV,AUTUMN
6,work,2.5,0.0,0.0,0.0,noVIPV,AUTUMN
6,public,2.5,5811.458333333333,7598.629296881492,1381.5689630693623,noVIPV,AUTUMN
7,home,3.0,92172.08333333333,14482.422878793119,9654.94858586208,noVIPV,AUTUMN
7,work,3.0,0.0,0.0,0.0,noVIPV,AUTUMN
7,public,3.0,2000.375,2615.9038938800677,475.618889796376,noVIPV,AUTUMN
8,home,3.5,73978.08333333333,11730.372716480457,7820.2484776536385,noVIPV,AUTUMN
8,work,3.5,0.0,0.0,0.0,noVIPV,AUTUMN
8,public,3.5,823.2083333333333,1113.8018185439826,202.50942155345138,noVIPV,AUTUMN
9,home,4.0,55459.625,8867.922288836442,5911.948192557628,noVIPV,AUTUMN
9,work,4.0,122.04166666666667,46.2720379795159,11.568009494878975,noVIPV,AUTUMN
9,public,4.0,313.0416666666667,399.2789346638752,72.59616993888639,noVIPV,AUTUMN
10,home,4.5,37249.416666666664,6007.739806893087,4005.159871262058,noVIPV,AUTUMN
10,work,4.5,878.4583333333334,377.55998482018276,94.38999620504569,noVIPV,AUTUMN
10,public,4.5,236.79166666666666,287.008694712542,52.183399038644005,noVIPV,AUTUMN
11,home,5.0,19909.458333333332,3231.053280496769,2154.035520331179,noVIPV,AUTUMN
11,work,5.0,2362.0833333333335,1032.7065755929232,258.1766438982308,noVIPV,AUTUMN
11,public,5.0,701.7083333333333,733.4353211355879,133.35187657010687,noVIPV,AUTUMN
12,home,5.5,4079.25,648.0419908419476,432.0279938946317,noVIPV,AUTUMN
12,work,5.5,5773.166666666667,2546.3004577257525,636.5751144314381,noVIPV,AUTUMN
12,public,5.5,2054.0,1660.957229265488,301.992223502816,noVIPV,AUTUMN
13,home,6.0,1195.9166666666667,302.6872084550767,121.07488338203068,noVIPV,AUTUMN
13,work,6.0,9529.375,4228.815221932513,1057.2038054831282,noVIPV,AUTUMN
13,public,6.0,4740.958333333333,3853.172096309776,700.5767447835956,noVIPV,AUTUMN
14,home,6.5,1061.625,279.742937160725,111.89717486429001,noVIPV,AUTUMN
14,work,6.5,17867.958333333332,7771.60955314091,1942.9023882852275,noVIPV,AUTUMN
14,public,6.5,9160.208333333334,7471.620381476318,1358.476432995694,noVIPV,AUTUMN
15,home,7.0,1237.625,309.2814128895447,123.71256515581788,noVIPV,AUTUMN
15,work,7.0,28348.25,12569.879301563062,3142.4698253907654,noVIPV,AUTUMN
15,public,7.0,15919.125,14033.98201678789,2551.6330939614345,noVIPV,AUTUMN
16,home,7.5,1636.5,412.61877932230624,165.04751172892247,noVIPV,AUTUMN
16,work,7.5,48078.708333333336,21523.38815851448,5380.84703962862,noVIPV,AUTUMN
16,public,7.5,24568.791666666668,21957.96931699991,3992.358057636347,noVIPV,AUTUMN
17,home,8.0,1964.5833333333333,866.9471524410712,216.7367881102678,noVIPV,AUTUMN
17,work,8.0,56689.416666666664,26652.821433391404,6663.205358347851,noVIPV,AUTUMN
17,public,8.0,30855.5,28869.660997611063,5249.029272292921,noVIPV,AUTUMN
18,home,8.5,2571.2916666666665,1067.0334613767955,266.7583653441988,noVIPV,AUTUMN
18,work,8.5,49646.791666666664,24826.887204037044,6206.721801009261,noVIPV,AUTUMN
18,public,8.5,30442.791666666668,30105.31324570065,5473.693317400118,noVIPV,AUTUMN
19,home,9.0,5701.791666666667,2292.2637769063663,573.0659442265916,noVIPV,AUTUMN
19,work,9.0,39705.416666666664,20623.186522199187,5155.796630549797,noVIPV,AUTUMN
19,public,9.0,25915.875,26572.645896488237,4831.390162997861,noVIPV,AUTUMN
20,home,9.5,8772.166666666666,3507.782175145215,876.9455437863038,noVIPV,AUTUMN
20,work,9.5,28266.0,15292.98933138981,3823.2473328474525,noVIPV,AUTUMN
20,public,9.5,22616.666666666668,24723.274410263035,4495.140801866007,noVIPV,AUTUMN
21,home,10.0,13413.916666666666,5443.5872632530445,1360.8968158132611,noVIPV,AUTUMN
21,work,10.0,19854.666666666668,11033.725326297785,2758.431331574446,noVIPV,AUTUMN
21,public,10.0,22849.666666666668,24756.048637818374,4501.099752330614,noVIPV,AUTUMN
22,home,10.5,16714.916666666668,6797.285619230076,1699.321404807519,noVIPV,AUTUMN
22,work,10.5,14926.583333333334,8094.146825296454,2023.5367063241135,noVIPV,AUTUMN
22,public,10.5,25921.958333333332,28421.89967667589,5167.61812303198,noVIPV,AUTUMN
23,home,11.0,23814.208333333332,5397.049474971932,2398.688655543081,noVIPV,AUTUMN
23,work,11.0,10726.416666666666,5931.513417854852,1482.878354463713,noVIPV,AUTUMN
23,public,11.0,27558.666666666668,30135.955497296436,5479.264635872079,noVIPV,AUTUMN
24,home,11.5,33986.958333333336,7767.395272645976,3452.1756767315446,noVIPV,AUTUMN
24,work,11.5,8443.458333333334,4490.817787924532,1122.704446981133,noVIPV,AUTUMN
24,public,11.5,29250.375,31508.491821254123,5728.816694773477,noVIPV,AUTUMN
25,home,12.0,43454.333333333336,9912.85487396572,4405.713277318097,noVIPV,AUTUMN
25,work,12.0,8132.416666666667,4185.338704401656,1046.334676100414,noVIPV,AUTUMN
25,public,12.0,31740.791666666668,34051.06062924934,6191.101932590789,noVIPV,AUTUMN
26,home,12.5,50369.166666666664,11512.834588152242,5116.815372512107,noVIPV,AUTUMN
26,work,12.5,8835.958333333334,4501.434316737378,1125.3585791843445,noVIPV,AUTUMN
26,public,12.5,31399.291666666668,34839.62074184297,6334.476498516904,noVIPV,AUTUMN
27,home,13.0,54289.041666666664,12449.210797046317,5532.9825764650295,noVIPV,AUTUMN
27,work,13.0,9545.958333333334,4791.005286107615,1197.7513215269037,noVIPV,AUTUMN
27,public,13.0,33219.791666666664,36693.94145081439,6671.6257183298885,noVIPV,AUTUMN
28,home,13.5,59099.833333333336,13608.156577851036,6048.069590156016,noVIPV,AUTUMN
28,work,13.5,9082.75,4726.832756127189,1181.7081890317972,noVIPV,AUTUMN
