HexID,chargerAccessType,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
126,work,0.0,0.0,noVIPV,SPRING
126,public,18.0,45.0,noVIPV,SPRING
127,home,45.0,112.5,noVIPV,SPRING
127,work,0.0,0.0,noVIPV,SPRING
127,public,9.0,22.5,noVIPV,SPRING
128,home,8.0,20.0,noVIPV,SPRING
128,work,3.0,7.5,noVIPV,SPRING
128,public,0.0,0.0,noVIPV,SPRING
129,home,3.0,7.5,noVIPV,SPRING
129,work,0.0,0.0,noVIPV,SPRING
129,public,2.0,5.0,noVIPV,SPRING
130,home,0.0,0.0,noVIPV,SPRING
130,work,0.0,0.0,noVIPV,SPRING
130,public,0.0,0.0,noVIPV,SPRING
131,home,0.0,0.0,noVIPV,SPRING
131,work,0.0,0.0,noVIPV,SPRING
131,public,2.0,5.0,noVIPV,SPRING
132,home,15.0,37.5,noVIPV,SPRING
132,work,3.0,7.5,noVIPV,SPRING
132,public,0.0,0.0,noVIPV,SPRING
133,home,33.0,82.5,noVIPV,SPRING
133,work,1.0,2.5,noVIPV,SPRING
133,public,23.0,57.5,noVIPV,SPRING
134,home,61.0,152.5,noVIPV,SPRING
134,work,5.0,12.5,noVIPV,SPRING
134,public,28.0,70.0,noVIPV,SPRING
135,home,34.0,85.0,noVIPV,SPRING
135,work,9.0,22.5,noVIPV,SPRING
135,public,38.0,95.0,noVIPV,SPRING
136,home,35.0,87.5,noVIPV,SPRING
136,work,3.0,7.5,noVIPV,SPRING
136,public,12.0,30.0,noVIPV,SPRING
137,home,21.0,52.5,noVIPV,SPRING
137,work,4.0,10.0,noVIPV,SPRING
137,public,11.0,27.5,noVIPV,SPRING
138,home,0.0,0.0,noVIPV,SPRING
138,work,8.0,20.0,noVIPV,SPRING
138,public,23.0,57.5,noVIPV,SPRING
139,home,18.0,45.0,noVIPV,SPRING
139,work,6.0,15.0,noVIPV,SPRING
139,public,19.0,47.5,noVIPV,SPRING
140,home,5.0,12.5,noVIPV,SPRING
140,work,0.0,0.0,noVIPV,SPRING
140,public,4.0,10.0,noVIPV,SPRING
141,home,52.0,130.0,noVIPV,SPRING
141,work,5.0,12.5,noVIPV,SPRING
141,public,21.0,52.5,noVIPV,SPRING
142,home,27.0,67.5,noVIPV,SPRING
142,work,20.0,50.0,noVIPV,SPRING
142,public,47.0,117.5,noVIPV,SPRING
143,home,19.0,47.5,noVIPV,SPRING
143,work,11.0,27.5,noVIPV,SPRING
143,public,19.0,47.5,noVIPV,SPRING
144,home,29.0,72.5,noVIPV,SPRING
144,work,0.0,0.0,noVIPV,SPRING
144,public,16.0,40.0,noVIPV,SPRING
145,home,0.0,0.0,noVIPV,SPRING
145,work,0.0,0.0,noVIPV,SPRING
145,public,1.0,2.5,noVIPV,SPRING
146,home,0.0,0.0,noVIPV,SPRING
146,work,0.0,0.0,noVIPV,SPRING
146,public,1.0,2.5,noVIPV,SPRING
147,home,7.0,17.5,noVIPV,SPRING
147,work,0.0,0.0,noVIPV,SPRING
147,public,0.0,0.0,noVIPV,SPRING
148,home,23.0,57.5,noVIPV,SPRING
148,work,6.0,15.0,noVIPV,SPRING
148,public,18.0,45.0,noVIPV,SPRING
149,home,20.0,50.0,noVIPV,SPRING
149,work,1.0,2.5,noVIPV,SPRING
149,public,20.0,50.0,noVIPV,SPRING
150,home,21.0,52.5,noVIPV,SPRING
150,work,2.0,5.0,noVIPV,SPRING
150,public,2.0,5.0,noVIPV,SPRING
151,home,0.0,0.0,noVIPV,SPRING
151,work,0.0,0.0,noVIPV,SPRING
151,public,3.0,7.5,noVIPV,SPRING
152,home,39.0,97.5,noVIPV,SPRING
152,work,0.0,0.0,noVIPV,SPRING
152,public,15.0,37.5,noVIPV,SPRING
153,home,35.0,87.5,noVIPV,SPRING
153,work,4.0,10.0,noVIPV,SPRING
153,public,14.0,35.0,noVIPV,SPRING
154,home,5.0,12.5,noVIPV,SPRING
154,work,14.0,35.0,noVIPV,SPRING
154,public,4.0,10.0,noVIPV,SPRING
155,home,14.0,35.0,noVIPV,SPRING
155,work,0.0,0.0,noVIPV,SPRING
155,public,5.0,12.5,noVIPV,SPRING
156,home,34.0,85.0,noVIPV,SPRING
156,work,4.0,10.0,noVIPV,SPRING
156,public,91.0,227.5,noVIPV,SPRING
157,home,3.0,7.5,noVIPV,SPRING
157,work,22.0,55.0,noVIPV,SPRING
157,public,0.0,0.0,noVIPV,SPRING
158,home,9.0,22.5,noVIPV,SPRING
158,work,1.0,2.5,noVIPV,SPRING
158,public,0.0,0.0,noVIPV,SPRING
159,home,43.0,107.5,noVIPV,SPRING
159,work,2.0,5.0,noVIPV,SPRING
159,public,39.0,97.5,noVIPV,SPRING
160,home,37.0,92.5,noVIPV,SPRING
160,work,14.0,35.0,noVIPV,SPRING
160,public,45.0,112.5,noVIPV,SPRING
161,home,25.0,62.5,noVIPV,SPRING
161,work,3.0,7.5,noVIPV,SPRING
161,public,26.0,65.0,noVIPV,SPRING
162,home,22.0,55.0,noVIPV,SPRING
162,work,1.0,2.5,noVIPV,SPRING
162,public,14.0,35.0,noVIPV,SPRING
163,home,1.0,2.5,noVIPV,SPRING
163,work,0.0,0.0,noVIPV,SPRING
163,public,0.0,0.0,noVIPV,SPRING
164,home,22.0,55.0,noVIPV,SPRING
164,work,2.0,5.0,noVIPV,SPRING
164,public,18.0,45.0,noVIPV,SPRING
165,home,35.0,87.5,noVIPV,SPRING
165,work,5.0,12.5,noVIPV,SPRING
165,public,5.0,12.5,noVIPV,SPRING
166,home,5.0,12.5,noVIPV,SPRING
166,work,3.0,7.5,noVIPV,SPRING
166,public,5.0,12.5,noVIPV,SPRING
167,home,0.0,0.0,noVIPV,SPRING
167,work,1.0,2.5,noVIPV,SPRING
167,public,0.0,0.0,noVIPV,SPRING
168,home,2.0,5.0,noVIPV,SPRING
168,work,0.0,0.0,noVIPV,SPRING
168,public,0.0,0.0,noVIPV,SPRING
169,home,8.0,20.0,noVIPV,SPRING
169,work,0.0,0.0,noVIPV,SPRING
169,public,1.0,2.5,noVIPV,SPRING
170,home,25.0,62.5,noVIPV,SPRING
170,work,1.0,2.5,noVIPV,SPRING
170,public,8.0,20.0,noVIPV,SPRING
171,home,19.0,47.5,noVIPV,SPRING
