TimeIndex,chargerAccessType,Hour,Sample_session_starts,Fullscale_avg_daily_session_starts,Scenario,Season
5,public,2.0,7.0,17.5,noVIPV,AUTUMN
6,home,2.5,8.0,20.0,noVIPV,AUTUMN
6,work,2.5,0.0,0.0,noVIPV,AUTUMN
6,public,2.5,3.0,7.5,noVIPV,AUTUMN
7,home,3.0,2.0,5.0,noVIPV,AUTUMN
7,work,3.0,0.0,0.0,noVIPV,AUTUMN
7,public,3.0,0.0,0.0,noVIPV,AUTUMN
8,home,3.5,0.0,0.0,noVIPV,AUTUMN
8,work,3.5,0.0,0.0,noVIPV,AUTUMN
8,public,3.5,0.0,0.0,noVIPV,AUTUMN
9,home,4.0,0.0,0.0,noVIPV,AUTUMN
9,work,4.0,6.0,15.0,noVIPV,AUTUMN
9,public,4.0,2.0,5.0,noVIPV,AUTUMN
10,home,4.5,0.0,0.0,noVIPV,AUTUMN
10,work,4.5,11.0,27.5,noVIPV,AUTUMN
10,public,4.5,5.0,12.5,noVIPV,AUTUMN
11,home,5.0,4.0,10.0,noVIPV,AUTUMN
11,work,5.0,47.0,117.5,noVIPV,AUTUMN
11,public,5.0,21.0,52.5,noVIPV,AUTUMN
12,home,5.5,5.0,12.5,noVIPV,AUTUMN
12,work,5.5,51.0,127.5,noVIPV,AUTUMN
12,public,5.5,25.0,62.5,noVIPV,AUTUMN
13,home,6.0,2.0,5.0,noVIPV,AUTUMN
13,work,6.0,106.0,265.0,noVIPV,AUTUMN
13,public,6.0,83.0,207.5,noVIPV,AUTUMN
14,home,6.5,4.0,10.0,noVIPV,AUTUMN
14,work,6.5,181.0,452.5,noVIPV,AUTUMN
14,public,6.5,97.0,242.5,noVIPV,AUTUMN
15,home,7.0,10.0,25.0,noVIPV,AUTUMN
15,work,7.0,309.0,772.5,noVIPV,AUTUMN
15,public,7.0,207.0,517.5,noVIPV,AUTUMN
16,home,7.5,11.0,27.5,noVIPV,AUTUMN
16,work,7.5,361.0,902.5,noVIPV,AUTUMN
16,public,7.5,235.0,587.5,noVIPV,AUTUMN
17,home,8.0,17.0,42.5,noVIPV,AUTUMN
17,work,8.0,195.0,487.5,noVIPV,AUTUMN
17,public,8.0,215.0,537.5,noVIPV,AUTUMN
18,home,8.5,39.0,97.5,noVIPV,AUTUMN
18,work,8.5,122.0,305.0,noVIPV,AUTUMN
18,public,8.5,172.0,430.0,noVIPV,AUTUMN
19,home,9.0,61.0,152.5,noVIPV,AUTUMN
