Scenario,HexID,chargerAccessType,Annual_avg_daily_session_starts,Annual_total_session_starts
VIPV50_Wp700,195,public,20.02054794520548,7307.5
VIPV50_Wp700,195,work,2.4863013698630136,907.5
VIPV50_Wp700,196,home,79.41095890410959,28985.0
VIPV50_Wp700,196,public,53.0958904109589,19380.0
VIPV50_Wp700,196,work,1.2465753424657535,455.0
VIPV50_Wp700,197,home,101.17808219178082,36930.0
VIPV50_Wp700,197,public,53.75342465753425,19620.0
VIPV50_Wp700,197,work,23.726027397260275,8660.0
VIPV50_Wp700,198,home,24.363013698630137,8892.5
VIPV50_Wp700,198,public,8.753424657534246,3195.0
VIPV50_Wp700,198,work,28.746575342465754,10492.5
VIPV50_Wp700,199,home,0.0,0.0
VIPV50_Wp700,199,public,3.1232876712328768,1140.0
VIPV50_Wp700,199,work,2.5,912.5
VIPV50_Wp700,2,home,25.636986301369863,9357.5
VIPV50_Wp700,2,public,0.0,0.0
VIPV50_Wp700,2,work,2.506849315068493,915.0
VIPV50_Wp700,20,home,56.23287671232877,20525.0
VIPV50_Wp700,20,public,0.0,0.0
VIPV50_Wp700,20,work,8.76027397260274,3197.5
VIPV50_Wp700,200,home,0.0,0.0
VIPV50_Wp700,200,public,6.835616438356165,2495.0
VIPV50_Wp700,200,work,22.527397260273972,8222.5
VIPV50_Wp700,201,home,11.863013698630137,4330.0
VIPV50_Wp700,201,public,1.8630136986301369,680.0
VIPV50_Wp700,201,work,8.123287671232877,2965.0
VIPV50_Wp700,202,home,0.0,0.0
VIPV50_Wp700,202,public,0.0,0.0
VIPV50_Wp700,202,work,0.6301369863013698,230.0
VIPV50_Wp700,203,home,0.0,0.0
VIPV50_Wp700,203,public,0.0,0.0
VIPV50_Wp700,203,work,0.0,0.0
VIPV50_Wp700,204,home,2.5136986301369864,917.5
VIPV50_Wp700,204,public,4.376712328767123,1597.5
VIPV50_Wp700,204,work,0.0,0.0
VIPV50_Wp700,205,home,35.60958904109589,12997.5
VIPV50_Wp700,205,public,29.97945205479452,10942.5
VIPV50_Wp700,205,work,3.1232876712328768,1140.0
VIPV50_Wp700,206,home,51.23287671232877,18700.0
VIPV50_Wp700,206,public,19.924657534246574,7272.5
VIPV50_Wp700,206,work,10.006849315068493,3652.5
VIPV50_Wp700,207,home,44.92465753424658,16397.5
VIPV50_Wp700,207,public,13.753424657534246,5020.0
VIPV50_Wp700,207,work,0.6164383561643836,225.0
VIPV50_Wp700,208,home,28.15068493150685,10275.0
VIPV50_Wp700,208,public,42.47260273972603,15502.5
VIPV50_Wp700,208,work,2.506849315068493,915.0
VIPV50_Wp700,209,home,67.41095890410959,24605.0
VIPV50_Wp700,209,public,62.42465753424658,22785.0
VIPV50_Wp700,209,work,1.2534246575342465,457.5
VIPV50_Wp700,21,home,10.63013698630137,3880.0
VIPV50_Wp700,21,public,0.0,0.0
VIPV50_Wp700,21,work,3.7054794520547945,1352.5
VIPV50_Wp700,210,home,3.1301369863013697,1142.5
VIPV50_Wp700,210,public,24.34931506849315,8887.5
VIPV50_Wp700,210,work,1.8767123287671232,685.0
VIPV50_Wp700,211,home,19.97945205479452,7292.5
VIPV50_Wp700,211,public,96.91780821917808,35375.0
VIPV50_Wp700,211,work,65.08219178082192,23755.0
VIPV50_Wp700,212,home,75.63013698630137,27605.0
VIPV50_Wp700,212,public,71.86986301369863,26232.5
VIPV50_Wp700,212,work,9.39041095890411,3427.5
VIPV50_Wp700,213,home,63.74657534246575,23267.5
VIPV50_Wp700,213,public,131.6917808219178,48067.5
VIPV50_Wp700,213,work,7.493150684931507,2735.0
VIPV50_Wp700,214,home,53.04109589041096,19360.0
VIPV50_Wp700,214,public,48.66438356164384,17762.5
VIPV50_Wp700,214,work,33.73287671232877,12312.5
VIPV50_Wp700,215,home,26.910958904109588,9822.5
VIPV50_Wp700,215,public,76.25342465753425,27832.5
VIPV50_Wp700,215,work,3.1301369863013697,1142.5
VIPV50_Wp700,216,home,0.0,0.0
VIPV50_Wp700,216,public,1.2602739726027397,460.0
VIPV50_Wp700,216,work,1.2534246575342465,457.5
VIPV50_Wp700,217,home,2.5,912.5
VIPV50_Wp700,217,public,0.0,0.0
VIPV50_Wp700,217,work,0.0,0.0
VIPV50_Wp700,218,home,36.205479452054796,13215.0
VIPV50_Wp700,218,public,8.746575342465754,3192.5
VIPV50_Wp700,218,work,0.0,0.0
VIPV50_Wp700,219,home,31.21232876712329,11392.5
VIPV50_Wp700,219,public,0.0,0.0
VIPV50_Wp700,219,work,0.0,0.0
VIPV50_Wp700,22,home,16.273972602739725,5940.0
VIPV50_Wp700,22,public,0.0,0.0
VIPV50_Wp700,22,work,0.0,0.0
VIPV50_Wp700,220,home,0.0,0.0
VIPV50_Wp700,220,public,0.0,0.0
VIPV50_Wp700,220,work,0.6301369863013698,230.0
VIPV50_Wp700,221,home,0.6164383561643836,225.0
VIPV50_Wp700,221,public,0.0,0.0
VIPV50_Wp700,221,work,0.0,0.0
VIPV50_Wp700,222,home,0.0,0.0
VIPV50_Wp700,222,public,1.2465753424657535,455.0
VIPV50_Wp700,222,work,0.0,0.0
VIPV50_Wp700,223,home,0.0,0.0
VIPV50_Wp700,223,public,0.0,0.0
VIPV50_Wp700,223,work,4.383561643835616,1600.0
VIPV50_Wp700,224,home,51.17123287671233,18677.5
VIPV50_Wp700,224,public,21.856164383561644,7977.5
VIPV50_Wp700,224,work,14.95890410958904,5460.0
VIPV50_Wp700,225,home,150.513698630137,54937.5
VIPV50_Wp700,225,public,194.36301369863014,70942.5
VIPV50_Wp700,225,work,13.13013698630137,4792.5
VIPV50_Wp700,226,home,36.842465753424655,13447.5
VIPV50_Wp700,226,public,63.0958904109589,23030.0
VIPV50_Wp700,226,work,0.0,0.0
VIPV50_Wp700,227,home,99.86986301369863,36452.5
VIPV50_Wp700,227,public,221.02739726027397,80675.0
VIPV50_Wp700,227,work,41.24657534246575,15055.0
VIPV50_Wp700,228,home,62.43150684931507,22787.5
VIPV50_Wp700,228,public,79.95890410958904,29185.0
VIPV50_Wp700,228,work,26.863013698630137,9805.0
VIPV50_Wp700,229,home,83.70547945205479,30552.5
VIPV50_Wp700,229,public,62.445205479452056,22792.5
VIPV50_Wp700,229,work,32.42465753424658,11835.0
VIPV50_Wp700,23,home,7.493150684931507,2735.0
VIPV50_Wp700,23,public,7.5,2737.5
VIPV50_Wp700,23,work,0.0,0.0
VIPV50_Wp700,230,home,83.08219178082192,30325.0
VIPV50_Wp700,230,public,137.486301369863,50182.5
VIPV50_Wp700,230,work,18.143835616438356,6622.5
VIPV50_Wp700,231,home,37.45890410958904,13672.5
VIPV50_Wp700,231,public,39.945205479452056,14580.0
VIPV50_Wp700,231,work,3.7465753424657535,1367.5
VIPV50_Wp700,232,home,15.013698630136986,5480.0
VIPV50_Wp700,232,public,2.506849315068493,915.0
VIPV50_Wp700,232,work,0.0,0.0
VIPV50_Wp700,233,home,50.56164383561644,18455.0
VIPV50_Wp700,233,public,45.013698630136986,16430.0
VIPV50_Wp700,233,work,0.0,0.0
VIPV50_Wp700,234,home,24.34246575342466,8885.0
VIPV50_Wp700,234,public,26.82191780821918,9790.0
VIPV50_Wp700,234,work,0.0,0.0
VIPV50_Wp700,235,home,16.23972602739726,5927.5
VIPV50_Wp700,235,public,3.1301369863013697,1142.5
VIPV50_Wp700,235,work,1.8767123287671232,685.0
VIPV50_Wp700,236,home,25.0,9125.0
VIPV50_Wp700,236,public,6.86986301369863,2507.5
VIPV50_Wp700,236,work,0.0,0.0
VIPV50_Wp700,237,home,4.36986301369863,1595.0
VIPV50_Wp700,237,public,0.0,0.0
VIPV50_Wp700,237,work,0.0,0.0
VIPV50_Wp700,238,home,0.0,0.0
VIPV50_Wp700,238,public,3.732876712328767,1362.5
VIPV50_Wp700,238,work,21.856164383561644,7977.5
VIPV50_Wp700,239,home,0.0,0.0
VIPV50_Wp700,239,public,3.7465753424657535,1367.5
VIPV50_Wp700,239,work,5.623287671232877,2052.5
VIPV50_Wp700,24,home,21.232876712328768,7750.0
VIPV50_Wp700,24,public,0.0,0.0
VIPV50_Wp700,24,work,0.0,0.0
VIPV50_Wp700,240,home,0.0,0.0
VIPV50_Wp700,240,public,1.2602739726027397,460.0
VIPV50_Wp700,240,work,0.0,0.0
VIPV50_Wp700,241,home,0.0,0.0
VIPV50_Wp700,241,public,4.383561643835616,1600.0
VIPV50_Wp700,241,work,23.136986301369863,8445.0
VIPV50_Wp700,242,home,0.0,0.0
VIPV50_Wp700,242,public,2.4863013698630136,907.5
VIPV50_Wp700,242,work,4.993150684931507,1822.5
VIPV50_Wp700,243,home,47.49315068493151,17335.0
VIPV50_Wp700,243,public,3.76027397260274,1372.5
VIPV50_Wp700,243,work,1.8835616438356164,687.5
VIPV50_Wp700,244,home,68.70547945205479,25077.5
VIPV50_Wp700,244,public,26.26027397260274,9585.0
VIPV50_Wp700,244,work,16.267123287671232,5937.5
VIPV50_Wp700,245,home,152.36301369863014,55612.5
VIPV50_Wp700,245,public,123.6986301369863,45150.0
VIPV50_Wp700,245,work,40.013698630136986,14605.0
VIPV50_Wp700,246,home,136.8904109589041,49965.0
VIPV50_Wp700,246,public,305.66438356164383,111567.5
VIPV50_Wp700,246,work,68.83561643835617,25125.0
VIPV50_Wp700,247,home,126.67808219178082,46237.5
VIPV50_Wp700,247,public,108.75342465753425,39695.0
VIPV50_Wp700,247,work,37.534246575342465,13700.0
VIPV50_Wp700,248,home,139.35616438356163,50865.0
VIPV50_Wp700,248,public,255.5068493150685,93260.0
VIPV50_Wp700,248,work,66.18493150684931,24157.5
VIPV50_Wp700,249,home,44.37671232876713,16197.5
VIPV50_Wp700,249,public,90.52739726027397,33042.5
VIPV50_Wp700,249,work,35.602739726027394,12995.0
VIPV50_Wp700,25,home,10.623287671232877,3877.5
VIPV50_Wp700,25,public,10.020547945205479,3657.5
VIPV50_Wp700,25,work,0.0,0.0
VIPV50_Wp700,250,home,51.18493150684932,18682.5
VIPV50_Wp700,250,public,44.34931506849315,16187.5
VIPV50_Wp700,250,work,9.36986301369863,3420.0
VIPV50_Wp700,251,home,28.089041095890412,10252.5
VIPV50_Wp700,251,public,3.1301369863013697,1142.5
VIPV50_Wp700,251,work,0.0,0.0
VIPV50_Wp700,252,home,0.0,0.0
VIPV50_Wp700,252,public,8.76027397260274,3197.5
