Scenario,TimeIndex,Hour,chargerAccessType,Annual_avg_daily_chargingTime_min,Annual_total_chargingTime_min,Annual_avg_daily_chargingCost_SEK,Annual_total_chargingCost_SEK,Annual_avg_daily_energy_kWh,Annual_total_energy_kWh
VIPV50_Wp700,28,13.5,home,55719.415182648394,20337586.541666664,12566.828357415212,4586892.350456553,5741.936194741285,2095806.7110805693
VIPV50_Wp700,28,13.5,public,31408.5147260274,11464107.875,36478.184211724314,13314537.237279374,6632.397129404421,2420824.9522326137
VIPV50_Wp700,28,13.5,work,9464.002739726027,3454361.0,5023.562911254097,1833600.4626077455,1255.8907278135243,458400.1156519364
VIPV50_Wp700,29,14.0,home,65017.86575342466,23731521.0,14505.397655031637,5294470.144086547,6634.694942591287,2421663.65404582
VIPV50_Wp700,29,14.0,public,29694.696575342467,10838564.25,34553.25012151614,12611936.29435339,6282.409113002935,2293079.326246071
VIPV50_Wp700,29,14.0,work,8331.16815068493,3040876.375,4498.487742365356,1641948.0259633549,1124.621935591339,410487.0064908387
VIPV50_Wp700,30,14.5,home,71836.85205479452,26220451.0,15893.126162193172,5800991.049200508,7274.701851580874,2655266.175827019
VIPV50_Wp700,30,14.5,public,29202.62328767123,10658957.5,34063.888493986,12433319.30030489,6193.434271633819,2260603.509146344
VIPV50_Wp700,30,14.5,work,6996.9299086758,2553879.416666667,3841.5656764899213,1402171.4719188213,960.3914191224803,350542.86797970533
VIPV50_Wp700,31,15.0,home,79292.80376712329,28941873.375,17940.878292956917,6548420.576929275,7994.374840135904,2917946.816649605
VIPV50_Wp700,31,15.0,public,27721.824771689495,10118466.041666666,32873.379676204524,11998783.581814652,5976.978122946278,2181597.0148753915
VIPV50_Wp700,31,15.0,work,4877.7111872146115,1780364.5833333333,2760.944281511495,1007744.6627516956,690.2360703778737,251936.1656879239
VIPV50_Wp700,32,15.5,home,89665.58778538812,32727939.541666664,20305.09483335155,7411359.614173316,9033.919209178765,3297380.511350249
VIPV50_Wp700,32,15.5,public,26832.38721461187,9793821.333333332,31180.045022237915,11380716.433116838,5669.099094952348,2069221.169657607
VIPV50_Wp700,32,15.5,work,3403.903082191781,1242424.625,1985.1236662381036,724570.1381769078,496.2809165595259,181142.53454422695
VIPV50_Wp700,33,16.0,home,105106.55536529681,38363892.708333336,26911.57119887605,9822723.487589758,10486.196434162823,3827461.69846943
VIPV50_Wp700,33,16.0,public,28748.14566210046,10493073.166666668,33289.69738795455,12150739.54660341,6052.672252355372,2209225.3721097107
VIPV50_Wp700,33,16.0,work,2452.3463470319634,895106.4166666666,1411.6233970521298,515242.5399240274,352.90584926303245,128810.63498100685
VIPV50_Wp700,34,16.5,home,121080.43116438357,44194357.375,30875.00597829643,11269377.182078198,12050.973047908745,4398605.162486692
VIPV50_Wp700,34,16.5,public,30014.02180365297,10955117.958333334,34588.535693189915,12624815.528014319,6288.824671489075,2295421.005093512
VIPV50_Wp700,34,16.5,work,2027.354908675799,739984.5416666666,1155.111901659555,421615.8441057376,288.7779754148888,105403.9610264344
VIPV50_Wp700,35,17.0,home,136054.45148401827,49659874.791666664,40321.82162836757,14717464.894354163,13518.778010097307,4934353.973685517
VIPV50_Wp700,35,17.0,public,30225.757762557078,11032401.583333334,35628.49539463873,13004400.819043137,6477.908253570679,2364436.512553298
VIPV50_Wp700,35,17.0,work,1651.0077625570775,602617.8333333333,917.809619401587,335000.51108157926,229.45240485039676,83750.12777039481
VIPV50_Wp700,36,17.5,home,143686.15707762557,52445447.333333336,42809.11482485703,15625326.911072817,14369.64251110097,5244919.516551854
VIPV50_Wp700,36,17.5,public,28487.096004566214,10397790.041666668,33383.9807087288,12185152.958686013,6069.814674314328,2215482.35612473
VIPV50_Wp700,36,17.5,work,1055.2557077625572,385168.3333333334,587.4495300882207,214419.07848220057,146.86238252205519,53604.76962055014
VIPV50_Wp700,37,18.0,home,148258.90981735158,54114502.08333333,44354.899256396064,16189538.228584563,14898.468277649537,5437940.921342081
VIPV50_Wp700,37,18.0,public,26339.544178082193,9613933.625,31197.627092135124,11387133.888629321,5672.2958349336595,2070387.9797507857
VIPV50_Wp700,37,18.0,work,785.7930365296804,286814.4583333334,438.0893829627828,159902.6247814157,109.5223457406957,39975.65619535393
VIPV50_Wp700,38,18.5,home,147313.99315068492,53769607.5,44252.49699637271,16152161.40367604,14881.500057396403,5431747.520949687
VIPV50_Wp700,38,18.5,public,22999.863926940638,8394950.333333332,27182.4574150967,9921596.956510294,4942.264984563035,1803926.7193655078
VIPV50_Wp700,38,18.5,work,760.3528538812784,277528.7916666666,384.7541492272117,140435.26446793228,96.18853730680293,35108.81611698307
VIPV50_Wp700,39,19.0,home,139726.96152968038,51000340.958333336,42166.090678511275,15390623.097656615,14194.720315536148,5181072.915170694
VIPV50_Wp700,39,19.0,public,19503.681506849316,7118843.75,23505.201836538683,8579398.670336619,4273.6730611888515,1559890.6673339307
VIPV50_Wp700,39,19.0,work,645.5562785388129,235628.0416666667,348.8856524609479,127343.26314824597,87.22141311523697,31835.815787061492
VIPV50_Wp700,40,19.5,home,131334.87728310502,47937230.208333336,39770.178869309755,14516115.287298061,13396.339807937276,4889664.029897106
VIPV50_Wp700,40,19.5,public,15452.824885844751,5640281.083333334,18686.6978909267,6820644.730188247,3397.5814347139462,1240117.2236705904
VIPV50_Wp700,40,19.5,work,529.6961187214612,193339.0833333333,305.26100459304695,111420.26667646214,76.31525114826174,27855.066669115535
VIPV50_Wp700,41,20.0,home,121339.97009132418,44289089.08333333,32050.307937216836,11698362.397084145,12433.247957035404,4538135.5043179225
VIPV50_Wp700,41,20.0,public,12516.21107305936,4568417.041666666,14992.83440639351,5472384.558333631,2725.9698920715473,994979.0106061148
VIPV50_Wp700,41,20.0,work,363.37488584474886,132631.83333333334,228.20129140009828,83293.47136103587,57.05032285002457,20823.36784025897
VIPV50_Wp700,42,20.5,home,109268.64977168951,39883057.16666667,28967.396403498136,10573099.68727682,11236.432801559216,4101297.972569114
VIPV50_Wp700,42,20.5,public,9852.706506849316,3596237.875,11678.226459551875,4262552.657736435,2123.313901736705,775009.5741338972
VIPV50_Wp700,42,20.5,work,173.99360730593605,63507.666666666664,116.89537144322232,42666.810576776144,29.22384286080558,10666.702644194036
VIPV50_Wp700,43,21.0,home,97286.1941780822,35509460.875,24493.870914631458,8940262.883840483,10025.88739116073,3659448.8977736663
VIPV50_Wp700,43,21.0,public,7593.021575342465,2771452.875,9292.59583636178,3391797.480272049,1689.5628793385051,616690.4509585544
VIPV50_Wp700,43,21.0,work,55.56301369863014,20280.5,38.238082881358075,13956.900251695697,9.559520720339519,3489.2250629239243
VIPV50_Wp700,44,21.5,home,84733.53515981736,30927740.333333336,21441.290448062246,7826071.013542719,8767.791186318038,3200243.7830060837
VIPV50_Wp700,44,21.5,public,5775.496803652968,2108056.3333333335,7168.628315644442,2616549.3352102214,1303.3869664808076,475736.2427654948
VIPV50_Wp700,44,21.5,work,39.94018264840182,14578.166666666664,20.6290652088146,7529.608801217329,5.15726630220365,1882.4022003043322
VIPV50_Wp700,45,22.0,home,83309.92477168949,30408122.541666664,17204.820499576308,6279759.482345352,8602.410249788154,3139879.741172676
VIPV50_Wp700,45,22.0,public,5798.212328767123,2116347.5,7029.840851067398,2565891.9106396004,1278.1528820122542,466525.8019344728
VIPV50_Wp700,45,22.0,work,15.480365296803653,5650.333333333333,3.751552680477493,1369.3167283742848,0.9378881701193732,342.3291820935712
VIPV50_Wp700,46,22.5,home,91896.30079908676,33542149.791666668,18758.02660548549,6846679.711002205,9379.013302742746,3423339.8555011023
VIPV50_Wp700,46,22.5,public,7758.295890410959,2831778.0,9293.487538775253,3392122.9516529674,1689.7250070500459,616749.6275732667
VIPV50_Wp700,46,22.5,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,47,23.0,home,98488.02671232876,35948129.75,19975.489912684116,7291053.818129702,9987.744956342058,3645526.909064851
VIPV50_Wp700,47,23.0,public,9166.94897260274,3345936.375,10747.22062772748,3922735.52912053,1954.040114132269,713224.6416582782
VIPV50_Wp700,47,23.0,work,0.0,0.0,0.0,0.0,0.0,0.0
VIPV50_Wp700,48,23.5,home,101347.09121004568,36991688.29166667,20600.38711668872,7519141.297591382,10300.19355834436,3759570.648795691
VIPV50_Wp700,48,23.5,public,10038.734246575343,3664138.0,11945.364107626381,4360057.899283629,2171.884383204797,792737.7998697509
VIPV50_Wp700,48,23.5,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,1,0.0,home,105857.3734018265,38637941.29166667,18980.230734801746,6927784.2182026375,10736.104650012003,3918678.197254381
noVIPV,1,0.0,public,11762.817922374428,4293428.541666666,14228.277010124657,5193321.1086955,2586.959456386301,944240.2015809999
noVIPV,1,0.0,work,18.916780821917808,6904.625,6.607326935875174,2411.6743315944386,1.6518317339687936,602.9185828986097
noVIPV,2,0.5,home,126086.91164383561,46021722.75,21480.293627592073,7840307.174071106,12698.555853233785,4634972.8864303315
noVIPV,2,0.5,public,15317.777168949773,5590988.666666667,18151.835925996238,6625420.1129886275,3300.3338047265893,1204621.838725205
noVIPV,2,0.5,work,64.0461187214612,23376.833333333336,20.946141895033488,7645.341791687223,5.236535473758372,1911.3354479218058
noVIPV,3,1.0,home,126342.07648401828,46114857.91666667,21204.41584148443,7739611.782141818,12781.342556608384,4665190.03316206
noVIPV,3,1.0,public,14931.683789954339,5450064.583333334,17929.553538966295,6544287.041722698,3259.918825266599,1189870.3712223086
noVIPV,3,1.0,work,46.98219178082192,17148.5,15.734270965825738,5743.008902526394,3.9335677414564345,1435.7522256315985
noVIPV,4,1.5,home,115893.74166666667,42301215.708333336,19432.56163765503,7092884.997744086,11854.701413634828,4326966.015976712
noVIPV,4,1.5,public,11515.309703196348,4203088.041666667,14409.251044035685,5259376.631073025,2619.863826188306,956250.2965587317
noVIPV,4,1.5,work,21.676712328767124,7912.0,10.672633640859022,3895.511278913543,2.6681584102147555,973.8778197283857
noVIPV,5,2.0,home,100656.79315068493,36739729.5,16871.43478650259,6158073.697073445,10405.139892125713,3797876.0606258856
noVIPV,5,2.0,public,7228.356506849315,2638350.125,9326.060424273204,3404012.0548597192,1695.6473498678552,618911.2827017672
noVIPV,5,2.0,work,16.32054794520548,5957.0,8.806749850077816,3214.4636952784026,2.201687462519454,803.6159238196007
noVIPV,6,2.5,home,85266.64840182647,31122326.666666664,14272.306886175198,5209392.013453947,8897.064921880028,3247428.6964862105
noVIPV,6,2.5,public,3409.6407534246578,1244518.875,4469.379512216646,1631323.5219590757,812.6144567666628,296604.2767198319
noVIPV,6,2.5,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,7,3.0,home,68877.36347031963,25140237.666666664,11505.952448650138,4199672.6437573,7250.829023656374,2646552.5936345765
noVIPV,7,3.0,public,1144.345776255708,417686.2083333334,1509.0917276722928,550818.4806003869,274.3803141222351,100148.81465461581
noVIPV,7,3.0,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,8,3.5,home,52874.36232876712,19299142.25,8779.233126221736,3204420.0910709337,5611.17469459142,2048078.7635258683
noVIPV,8,3.5,public,342.2727168949771,124929.54166666666,449.94126885496917,164228.56313206375,81.80750342817622,29859.73875128432
noVIPV,8,3.5,work,0.0,0.0,0.0,0.0,0.0,0.0
noVIPV,9,4.0,home,36438.57682648402,13300080.541666668,5963.732884662074,2176762.502901657,3896.0013653047445,1422040.4983362318
noVIPV,9,4.0,public,185.87043378995432,67842.70833333333,196.11881789481782,71583.3685316085,35.65796688996688,13015.15791483791
noVIPV,9,4.0,work,85.8697488584475,31342.458333333336,35.844281765311614,13083.16284433874,8.961070441327903,3270.790711084685
noVIPV,10,4.5,home,22765.555707762556,8309427.833333333,3624.273249212309,1322859.7359624929,2451.377346791029,894752.7315787256
noVIPV,10,4.5,public,371.26883561643837,135513.125,409.74007756475754,149555.1283111365,74.49819592086503,27191.841511115737
noVIPV,10,4.5,work,716.2423515981735,261428.45833333334,307.9062657287182,112385.78699098215,76.97656643217955,28096.446747745536
noVIPV,11,5.0,home,11514.937557077625,4202952.208333333,1824.2527890776269,665852.2680133338,1245.0873627476894,454456.8874029066
noVIPV,11,5.0,public,829.7297945205479,302851.375,753.3959077632072,274989.50633357064,136.98107413876494,49998.09206064921
noVIPV,11,5.0,work,2312.031278538813,843891.4166666666,1010.1993844776895,368722.77533435664,252.54984611942237,92180.69383358916
noVIPV,12,5.5,home,2396.234703196347,874625.6666666666,390.04349563251026,142365.87590586624,251.3424345468615,91739.98860960445
noVIPV,12,5.5,public,2001.123515981735,730410.0833333333,1717.7149383830617,626965.9525098176,312.3118069787385,113993.80954723955
noVIPV,12,5.5,work,5868.357762557078,2141950.5833333335,2627.7350910540194,959123.3082347171,656.9337727635049,239780.82705867928
noVIPV,13,6.0,home,793.8159817351598,289742.8333333333,195.93283032953155,71515.48307027902,78.37313213181261,28606.193228111602
noVIPV,13,6.0,public,4544.275456621004,1658660.5416666665,4163.626384345256,1519723.6302860186,757.0229789718647,276313.38732473063
noVIPV,13,6.0,work,10374.471575342466,3786682.125,4742.500397960812,1731012.6452556963,1185.625099490203,432753.16131392407
noVIPV,14,6.5,home,814.5284246575343,297302.875,208.02121465675214,75927.74334971452,83.20848586270084,30371.097339885808
noVIPV,14,6.5,public,9230.714497716894,3369210.7916666665,8092.881430498027,2953901.72213178,1471.4329873632778,537073.0403875964
noVIPV,14,6.5,work,19388.915410958904,7076954.125,8826.560120957227,3221694.4441493875,2206.6400302393067,805423.6110373469
noVIPV,15,7.0,home,1089.9409817351598,397828.4583333333,300.73895254321366,109769.71767827298,106.73377134843109,38957.82654217735
noVIPV,15,7.0,public,15340.303310502282,5599210.708333333,13814.577208455601,5042320.681086294,2511.7413106282916,916785.5783793264
noVIPV,15,7.0,work,30399.40319634703,11095782.166666666,14001.518242288677,5110554.158435367,3500.3795605721693,1277638.5396088418
noVIPV,16,7.5,home,1599.4191780821918,583788.0,452.58722723179125,165194.3379396038,162.13344592281877,59178.707761828846
noVIPV,16,7.5,public,25383.58595890411,9265008.875,22846.05184475093,8338808.92333409,4153.827608136532,1516147.0769698343
noVIPV,16,7.5,work,50829.719520547944,18552847.625,23410.562658133706,8544855.370218802,5852.640664533426,2136213.8425547006
noVIPV,17,8.0,home,2118.636073059361,773302.1666666667,803.3627886527441,293227.4178582516,227.13879670559334,82905.66079754157
noVIPV,17,8.0,public,32185.038356164383,11747539.0,30240.44511895114,11037762.468417166,5498.262748900208,2006865.9033485758
noVIPV,17,8.0,work,60351.5904109589,22028330.5,28787.36092497856,10507386.737617174,7196.84023124464,2626846.6844042935
noVIPV,18,8.5,home,2926.2628995433793,1068085.9583333335,1051.3352058251667,383737.35012618586,296.8019908624877,108332.72666480801
noVIPV,18,8.5,public,31874.468835616437,11634181.125,31995.292478149742,11678281.754524656,5817.325905118135,2123323.9553681193
noVIPV,18,8.5,work,53980.68847031963,19702951.291666664,27296.034545628263,9963052.609154316,6824.008636407066,2490763.152288579
noVIPV,19,9.0,home,5767.474086757992,2105128.041666667,2064.6133790943722,753583.8833694458,580.7680001296862,211980.32004733547
noVIPV,19,9.0,public,28049.685730593606,10238135.291666666,29286.89523329019,10689716.760150919,5324.890042416398,1943584.8654819853
noVIPV,19,9.0,work,43219.86575342465,15775250.999999998,22986.212267731986,8389967.477722175,5746.553066932996,2097491.869430544
noVIPV,20,9.5,home,9414.002739726027,3436111.0,3395.568405015627,1239382.4678307038,956.3304834016008,349060.62644158426
noVIPV,20,9.5,public,24209.792237442925,8836574.166666668,26021.09978128548,9497701.4201692,4731.109051142814,1726854.8036671272
noVIPV,20,9.5,work,31407.958675799084,11463904.916666666,17318.810327395764,6321365.769499454,4329.702581848941,1580341.4423748634
noVIPV,21,10.0,home,14279.478767123288,5212009.75,4406.399100966854,1608335.6718529018,1457.4884992965256,531983.3022432318
noVIPV,21,10.0,public,24134.614383561642,8809134.25,26082.94882251155,9520276.320216715,4742.354331365736,1730959.3309484934
noVIPV,21,10.0,work,22031.99452054795,8041678.000000001,12391.614690867515,4522939.362166643,3097.9036727168786,1130734.8405416608
noVIPV,22,10.5,home,18634.94497716895,6801754.916666667,5691.623777558777,2077442.6788089536,1896.308979608098,692152.7775569558
noVIPV,22,10.5,public,26937.705821917807,9832262.625,29090.233067629568,10617935.069684792,5289.133285023558,1930533.6490335986
noVIPV,22,10.5,work,16619.155479452056,6065991.75,9239.886008110809,3372558.392960445,2309.971502027702,843139.5982401113
noVIPV,23,11.0,home,25098.62043378995,9160996.458333332,6661.981011015723,2431623.069020739,2553.479471941883,932020.0072587873
