Scenario,Season,Period,chargerAccessType,Fullscale_avg_daily_actual_charging_h
VIPV50_Wp700,SPRING,Evening,public,1951.4402777777777
VIPV50_Wp700,SUMMER,Night,home,9959.356249999999
VIPV50_Wp700,SUMMER,Night,work,111.98819444444445
VIPV50_Wp700,SUMMER,Night,public,686.4111111111112
VIPV50_Wp700,SUMMER,Morning,home,1834.370138888889
VIPV50_Wp700,SUMMER,Morning,work,5154.325
VIPV50_Wp700,SUMMER,Morning,public,4175.707638888889
VIPV50_Wp700,SUMMER,Afternoon,home,16178.615972222222
VIPV50_Wp700,SUMMER,Afternoon,work,1059.6541666666667
VIPV50_Wp700,SUMMER,Afternoon,public,5739.6819444444445
VIPV50_Wp700,SUMMER,Evening,home,23971.76736111111
VIPV50_Wp700,SUMMER,Evening,work,57.20763888888889
VIPV50_Wp700,SUMMER,Evening,public,2796.5416666666665
VIPV50_Wp700,AUTUMN,Night,home,15663.668055555556
VIPV50_Wp700,AUTUMN,Night,work,133.04652777777778
VIPV50_Wp700,AUTUMN,Night,public,1505.9631944444445
VIPV50_Wp700,AUTUMN,Morning,home,1791.7250000000001
VIPV50_Wp700,AUTUMN,Morning,work,5018.126388888889
VIPV50_Wp700,AUTUMN,Morning,public,4175.132638888889
VIPV50_Wp700,AUTUMN,Afternoon,home,17287.92638888889
VIPV50_Wp700,AUTUMN,Afternoon,work,1016.3249999999999
VIPV50_Wp700,AUTUMN,Afternoon,public,6039.927777777777
VIPV50_Wp700,AUTUMN,Evening,home,22138.00277777778
VIPV50_Wp700,AUTUMN,Evening,work,41.49236111111111
VIPV50_Wp700,AUTUMN,Evening,public,2390.2493055555556
VIPV50_Wp700,WINTER,Night,home,11773.599999999999
VIPV50_Wp700,WINTER,Night,work,131.61388888888888
VIPV50_Wp700,WINTER,Night,public,777.7951388888889
VIPV50_Wp700,WINTER,Morning,home,1781.459027777778
VIPV50_Wp700,WINTER,Morning,work,5531.1
VIPV50_Wp700,WINTER,Morning,public,4562.988194444444
VIPV50_Wp700,WINTER,Afternoon,home,17195.362500000003
VIPV50_Wp700,WINTER,Afternoon,work,1265.9118055555555
VIPV50_Wp700,WINTER,Afternoon,public,6083.897916666666
VIPV50_Wp700,WINTER,Evening,home,26368.728472222225
VIPV50_Wp700,WINTER,Evening,work,54.64791666666667
VIPV50_Wp700,WINTER,Evening,public,3057.5465277777776
VIPV50_Wp1000,SPRING,Night,home,14293.148611111112
VIPV50_Wp1000,SPRING,Night,work,102.21180555555556
VIPV50_Wp1000,SPRING,Night,public,1238.8
VIPV50_Wp1000,SPRING,Morning,home,1693.3472222222222
VIPV50_Wp1000,SPRING,Morning,work,5537.38888888889
VIPV50_Wp1000,SPRING,Morning,public,3955.1972222222225
VIPV50_Wp1000,SPRING,Afternoon,home,15525.458333333334
VIPV50_Wp1000,SPRING,Afternoon,work,1113.3743055555556
VIPV50_Wp1000,SPRING,Afternoon,public,5623.610416666666
VIPV50_Wp1000,SPRING,Evening,home,16794.642361111113
VIPV50_Wp1000,SPRING,Evening,work,42.28888888888889
VIPV50_Wp1000,SPRING,Evening,public,1673.0694444444443
VIPV50_Wp1000,SUMMER,Night,home,9680.115972222222
VIPV50_Wp1000,SUMMER,Night,work,114.78125
VIPV50_Wp1000,SUMMER,Night,public,662.65625
VIPV50_Wp1000,SUMMER,Morning,home,1941.4402777777777
VIPV50_Wp1000,SUMMER,Morning,work,4851.886805555556
VIPV50_Wp1000,SUMMER,Morning,public,3988.9229166666664
VIPV50_Wp1000,SUMMER,Afternoon,home,15673.238194444446
VIPV50_Wp1000,SUMMER,Afternoon,work,974.2847222222223
VIPV50_Wp1000,SUMMER,Afternoon,public,5456.659027777778
VIPV50_Wp1000,SUMMER,Evening,home,22652.422916666663
VIPV50_Wp1000,SUMMER,Evening,work,49.35069444444444
VIPV50_Wp1000,SUMMER,Evening,public,2666.354166666667
VIPV50_Wp1000,AUTUMN,Night,home,15560.390972222222
VIPV50_Wp1000,AUTUMN,Night,work,133.56805555555556
VIPV50_Wp1000,AUTUMN,Night,public,1324.2819444444444
VIPV50_Wp1000,AUTUMN,Morning,home,1761.0555555555557
VIPV50_Wp1000,AUTUMN,Morning,work,4645.353472222222
VIPV50_Wp1000,AUTUMN,Morning,public,4327.240277777778
VIPV50_Wp1000,AUTUMN,Afternoon,home,16790.43263888889
VIPV50_Wp1000,AUTUMN,Afternoon,work,1057.579861111111
VIPV50_Wp1000,AUTUMN,Afternoon,public,5907.250694444445
VIPV50_Wp1000,AUTUMN,Evening,home,21855.92638888889
VIPV50_Wp1000,AUTUMN,Evening,work,42.953472222222224
VIPV50_Wp1000,AUTUMN,Evening,public,2335.5138888888887
VIPV50_Wp1000,WINTER,Night,home,11594.879166666668
VIPV50_Wp1000,WINTER,Night,work,126.59166666666665
VIPV50_Wp1000,WINTER,Night,public,840.4784722222222
VIPV50_Wp1000,WINTER,Morning,home,1758.6361111111112
VIPV50_Wp1000,WINTER,Morning,work,5551.159027777778
VIPV50_Wp1000,WINTER,Morning,public,4369.654861111111
VIPV50_Wp1000,WINTER,Afternoon,home,16765.333333333332
VIPV50_Wp1000,WINTER,Afternoon,work,1185.5708333333334
VIPV50_Wp1000,WINTER,Afternoon,public,5842.843055555555
VIPV50_Wp1000,WINTER,Evening,home,26436.995833333334
VIPV50_Wp1000,WINTER,Evening,work,53.583333333333336
VIPV50_Wp1000,WINTER,Evening,public,2995.3979166666663
VIPV80_Wp400,SPRING,Night,home,15250.039583333331
VIPV80_Wp400,SPRING,Night,work,132.19930555555555
VIPV80_Wp400,SPRING,Night,public,1300.898611111111
VIPV80_Wp400,SPRING,Morning,home,1790.4708333333335
VIPV80_Wp400,SPRING,Morning,work,5398.78125
VIPV80_Wp400,SPRING,Morning,public,4073.320138888889
VIPV80_Wp400,SPRING,Afternoon,home,16279.665277777778
VIPV80_Wp400,SPRING,Afternoon,work,1136.601388888889
VIPV80_Wp400,SPRING,Afternoon,public,5606.396527777778
VIPV80_Wp400,SPRING,Evening,home,18318.30625
VIPV80_Wp400,SPRING,Evening,work,43.666666666666664
VIPV80_Wp400,SPRING,Evening,public,1821.2381944444446
VIPV80_Wp400,SUMMER,Night,home,10544.376388888888
VIPV80_Wp400,SUMMER,Night,work,107.29583333333335
VIPV80_Wp400,SUMMER,Night,public,680.8354166666666
VIPV80_Wp400,SUMMER,Morning,home,1997.1479166666666
VIPV80_Wp400,SUMMER,Morning,work,5234.481944444444
VIPV80_Wp400,SUMMER,Morning,public,4102.800694444444
VIPV80_Wp400,SUMMER,Afternoon,home,15906.527083333332
VIPV80_Wp400,SUMMER,Afternoon,work,1063.854861111111
VIPV80_Wp400,SUMMER,Afternoon,public,5701.7555555555555
VIPV80_Wp400,SUMMER,Evening,home,23907.579861111113
VIPV80_Wp400,SUMMER,Evening,work,43.02986111111111
VIPV80_Wp400,SUMMER,Evening,public,2832.3875
VIPV80_Wp400,AUTUMN,Night,home,15591.304861111112
VIPV80_Wp400,AUTUMN,Night,work,141.2111111111111
VIPV80_Wp400,AUTUMN,Night,public,1502.7979166666664
VIPV80_Wp400,AUTUMN,Morning,home,1684.0951388888889
VIPV80_Wp400,AUTUMN,Morning,work,5151.922916666666
VIPV80_Wp400,AUTUMN,Morning,public,4297.870833333333
VIPV80_Wp400,AUTUMN,Afternoon,home,17218.39513888889
VIPV80_Wp400,AUTUMN,Afternoon,work,1097.55
VIPV80_Wp400,AUTUMN,Afternoon,public,5801.326388888889
VIPV80_Wp400,AUTUMN,Evening,home,22408.730555555558
VIPV80_Wp400,AUTUMN,Evening,work,56.15208333333334
VIPV80_Wp400,AUTUMN,Evening,public,2235.4270833333335
VIPV80_Wp400,WINTER,Night,home,11875.237500000001
VIPV80_Wp400,WINTER,Night,work,152.0951388888889
VIPV80_Wp400,WINTER,Night,public,737.6534722222221
VIPV80_Wp400,WINTER,Morning,home,1771.7159722222223
VIPV80_Wp400,WINTER,Morning,work,5779.076388888889
VIPV80_Wp400,WINTER,Morning,public,4549.4840277777785
VIPV80_Wp400,WINTER,Afternoon,home,17199.095138888886
VIPV80_Wp400,WINTER,Afternoon,work,1175.4270833333335
VIPV80_Wp400,WINTER,Afternoon,public,6040.727777777778
VIPV80_Wp400,WINTER,Evening,home,26593.268055555556
VIPV80_Wp400,WINTER,Evening,work,66.17152777777778
VIPV80_Wp400,WINTER,Evening,public,3028.797916666667
VIPV80_Wp700,SPRING,Night,home,13682.281944444443
VIPV80_Wp700,SPRING,Night,work,110.50138888888888
VIPV80_Wp700,SPRING,Night,public,1267.9986111111111
VIPV80_Wp700,SPRING,Morning,home,1710.9743055555555
VIPV80_Wp700,SPRING,Morning,work,5244.090277777777
VIPV80_Wp700,SPRING,Morning,public,3705.966666666667
VIPV80_Wp700,SPRING,Afternoon,home,14877.486111111111
VIPV80_Wp700,SPRING,Afternoon,work,1011.75
VIPV80_Wp700,SPRING,Afternoon,public,5195.4125
VIPV80_Wp700,SPRING,Evening,home,16391.190972222223
VIPV80_Wp700,SPRING,Evening,work,42.31041666666667
VIPV80_Wp700,SPRING,Evening,public,1768.6006944444443
VIPV80_Wp700,SUMMER,Night,home,9666.332638888889
VIPV80_Wp700,SUMMER,Night,work,102.15069444444444
VIPV80_Wp700,SUMMER,Night,public,580.8958333333333
VIPV80_Wp700,SUMMER,Morning,home,1877.4395833333333
VIPV80_Wp700,SUMMER,Morning,work,4656.441666666667
