Scenario,Season,Period,chargerAccessType,Sample_event_count_selected_days,Fullscale_avg_daily_sessions
VIPV80_Wp700,WINTER,Morning,public,2241,5602.5
VIPV80_Wp700,WINTER,Afternoon,home,4281,10702.5
VIPV80_Wp700,WINTER,Afternoon,work,249,622.5
VIPV80_Wp700,WINTER,Afternoon,public,2708,6770.0
VIPV80_Wp700,WINTER,Evening,home,3635,9087.5
VIPV80_Wp700,WINTER,Evening,work,14,35.0
VIPV80_Wp700,WINTER,Evening,public,930,2325.0
VIPV80_Wp1000,SPRING,Night,home,1430,3575.0
VIPV80_Wp1000,SPRING,Night,work,66,165.0
VIPV80_Wp1000,SPRING,Night,public,325,812.5
VIPV80_Wp1000,SPRING,Morning,home,694,1735.0
VIPV80_Wp1000,SPRING,Morning,work,1201,3002.5
VIPV80_Wp1000,SPRING,Morning,public,1741,4352.5
VIPV80_Wp1000,SPRING,Afternoon,home,3569,8922.5
VIPV80_Wp1000,SPRING,Afternoon,work,176,440.0
VIPV80_Wp1000,SPRING,Afternoon,public,2233,5582.5
VIPV80_Wp1000,SPRING,Evening,home,1536,3840.0
VIPV80_Wp1000,SPRING,Evening,work,10,25.0
VIPV80_Wp1000,SPRING,Evening,public,485,1212.5
VIPV80_Wp1000,SUMMER,Night,home,285,712.5
VIPV80_Wp1000,SUMMER,Night,work,77,192.5
VIPV80_Wp1000,SUMMER,Night,public,117,292.5
VIPV80_Wp1000,SUMMER,Morning,home,759,1897.5
VIPV80_Wp1000,SUMMER,Morning,work,1152,2880.0
VIPV80_Wp1000,SUMMER,Morning,public,1745,4362.5
VIPV80_Wp1000,SUMMER,Afternoon,home,3667,9167.5
VIPV80_Wp1000,SUMMER,Afternoon,work,200,500.0
VIPV80_Wp1000,SUMMER,Afternoon,public,2222,5555.0
VIPV80_Wp1000,SUMMER,Evening,home,2963,7407.5
VIPV80_Wp1000,SUMMER,Evening,work,10,25.0
VIPV80_Wp1000,SUMMER,Evening,public,761,1902.5
VIPV80_Wp1000,AUTUMN,Night,home,1650,4125.0
VIPV80_Wp1000,AUTUMN,Night,work,91,227.5
VIPV80_Wp1000,AUTUMN,Night,public,359,897.5
VIPV80_Wp1000,AUTUMN,Morning,home,733,1832.5
