hour_of_day,mode,pvEnergyProduced_kWh,pvEnergyStored_kWh,pvEnergyWasted_kWh,Scenario,Season,Adoption_pct,System_Wp,Annual_factor_full,pvEnergyProduced_annual_kWh_full,pvEnergyStored_annual_kWh_full,pvEnergyWasted_annual_kWh_full
5,PARKED_OPEN,239.2188563916888,223.00330778751578,16.21554861342275,VIPV50_Wp400,AUTUMN,50,400,130.0,31098.451330919543,28990.43001237705,2108.0213197449575
6,DRIVING,8.217361281777645,8.19756920728045,0.01979207535913593,VIPV50_Wp400,AUTUMN,50,400,130.0,1068.256966631094,1065.6839969464586,2.5729697966876706
6,PARKED_OPEN,1038.584611987205,977.1670784079374,61.41753361933785,VIPV50_Wp400,AUTUMN,50,400,130.0,135015.99955833665,127031.72019303187,7984.279370513921
7,DRIVING,65.34244288466672,65.15013928713286,0.19230360583816497,VIPV50_Wp400,AUTUMN,50,400,130.0,8494.517575006674,8469.518107327272,24.999468758961445
7,PARKED_OPEN,2327.0984472817945,2188.2462437757426,138.85220358982997,VIPV50_Wp400,AUTUMN,50,400,130.0,302522.7981466333,284472.0116908465,18050.786466677895
8,DRIVING,64.33569060766685,64.1485783405556,0.1871122727800355,VIPV50_Wp400,AUTUMN,50,400,130.0,8363.63977899669,8339.315184272229,24.324595461404616
8,PARKED_OPEN,1337.9425601964917,1263.6253317868443,74.31722845298647,VIPV50_Wp400,AUTUMN,50,400,130.0,173932.53282554392,164271.29313228975,9661.239698888241
9,DRIVING,60.790157393666746,60.65419651743275,0.13596087967366205,VIPV50_Wp400,AUTUMN,50,400,130.0,7902.720461176677,7885.045547266258,17.674914357576068
9,PARKED_OPEN,658.7495544506183,633.7887655661103,24.96078890103862,VIPV50_Wp400,AUTUMN,50,400,130.0,85637.44207858038,82392.53952359434,3244.9025571350203
10,DRIVING,110.71095008933382,110.47784653332003,0.23310355821809808,VIPV50_Wp400,AUTUMN,50,400,130.0,14392.423511613397,14362.120049331605,30.30346256835275
10,PARKED_OPEN,759.6934516037192,728.7641752894999,30.92927632655922,VIPV50_Wp400,AUTUMN,50,400,130.0,98760.1487084835,94739.34278763499,4020.8059224526983
11,DRIVING,134.4789605241108,134.24999146426765,0.22896906051146998,VIPV50_Wp400,AUTUMN,50,400,130.0,17482.264868134404,17452.498890354796,29.7659778664911
11,PARKED_OPEN,764.1953505716779,739.0470146578092,25.148335927427254,VIPV50_Wp400,AUTUMN,50,400,130.0,99345.39557431813,96076.1119055152,3269.283670565543
12,DRIVING,136.89756184999942,136.70551897113745,0.19204287968565797,VIPV50_Wp400,AUTUMN,50,400,130.0,17796.683040499924,17771.71746624787,24.965574359135537
12,PARKED_OPEN,632.8280395345129,617.2192778442794,15.608761708213306,VIPV50_Wp400,AUTUMN,50,400,130.0,82267.64513948667,80238.50611975632,2029.1390220677297
13,DRIVING,98.71144288044373,98.61102953242991,0.10041335096274798,VIPV50_Wp400,AUTUMN,50,400,130.0,12832.487574457684,12819.433839215888,13.053735625157238
13,PARKED_OPEN,409.3484627251978,401.8493273379761,7.499135405907826,VIPV50_Wp400,AUTUMN,50,400,130.0,53215.30015427571,52240.41255393689,974.8876027680175
14,DRIVING,71.89997688199897,71.79658795855283,0.10338892597587061,VIPV50_Wp400,AUTUMN,50,400,130.0,9346.996994659865,9333.556434611868,13.44056037686318
14,PARKED_OPEN,215.98661852985822,213.24234221546993,2.7442763283201232,VIPV50_Wp400,AUTUMN,50,400,130.0,28078.260408881568,27721.50448801109,356.755922681616
15,DRIVING,43.08092067744403,43.02439530016537,0.056525378244695494,VIPV50_Wp400,AUTUMN,50,400,130.0,5600.519688067723,5593.171389021498,7.348299171810414
15,PARKED_OPEN,91.30409160611879,90.64090357998258,0.6631880403105319,VIPV50_Wp400,AUTUMN,50,400,130.0,11869.531908795443,11783.317465397735,86.21444524036914
16,DRIVING,15.581606411221896,15.560690582626796,0.02091583547115265,VIPV50_Wp400,AUTUMN,50,400,130.0,2025.6088334588464,2022.8897757414834,2.7190586112498445
16,PARKED_OPEN,24.93478201644192,24.867804621133146,0.06697740532836348,VIPV50_Wp400,AUTUMN,50,400,130.0,3241.5216621374493,3232.814600747309,8.707062692687252
17,DRIVING,0.9504537404444462,0.949474124376389,0.0009796164730838499,VIPV50_Wp400,AUTUMN,50,400,130.0,123.558986257778,123.43163616893057,0.1273501415009005
17,PARKED_OPEN,1.5311789500000228,1.529293581740307,0.001885368943973624,VIPV50_Wp400,AUTUMN,50,400,130.0,199.05326350000297,198.8081656262399,0.2450979627165711
6,DRIVING,0.31354251644444187,0.3135227640367892,1.9752407701485314e-05,VIPV50_Wp400,WINTER,50,400,128.57142857142856,40.31260925714252,40.31006966187289,0.0025395952759052543
